Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,114131236,275436961671,6627981558,1681616.0,20045569108.0,-1743045.0,-3219629490.0,-6389.0,-16792064191.0,-40616.0,-997689078.0,8346.0,-1061187550.0,11130.0,-11899082.0,-20.0,-25724000.0,14712.0,-6880984394.0,61.0,-7810768187.0,1879.0,-220277524.0,65939.0,186402097.0,23
1차 철강 제조업,15920761,183080854039,8110813610,9204.0,20949680666.0,55955.0,-19471335564.0,-62235.0,-2236902238.0,-69625.0,6406482274.0,3571.0,619063245.0,14652.0,-575338135.0,-9380.0,-165729085.0,18904.0,-5652150345.0,-10359.0,-2555973687.0,4853.0,489146350.0,-7777.0,269410786.0,59
가구 제조업,1286786,6083960652,245736615,-1315.0,297696020.0,-15857.0,-347889311.0,7436.0,-63640521.0,18679.0,-15185906.0,728.0,9332470.0,150.0,3114390.0,-74.0,-3618250.0,0.0,0.0,-12047.0,-57283225.0,11416.0,120678122.0,-1680.0,-6844310.0,9
가전제품 및 정보통신장비 소매업,32842,251690165,3602350,-3906.0,-29797955.0,-1543.0,-12197995.0,5121.0,39477430.0,4975.0,38353230.0,0.0,0.0,81.0,623700.0,0.0,0.0,0.0,0.0,65.0,500500.0,257.0,1978900.0,71.0,539620.0,2
가정용 기기 제조업,591709,16232976256,1365402551,11302.0,603340675.0,-23790.0,-1449838310.0,9594.0,662354345.0,18305.0,1144445045.0,-3.0,-166000.0,123.0,6142900.0,0.0,0.0,-6373.0,-351652650.0,-2458.0,-136414950.0,2396.0,174972250.0,498.0,9171040.0,8
"가죽, 가방 및 유사제품 제조업",798310,8569236610,33084090,53266.0,720288340.0,30014.0,377205310.0,-84240.0,-1128892870.0,6395.0,86120495.0,-6970.0,-93541050.0,-45180.0,-606369685.0,-139.0,-7725400.0,-3289.0,-44128840.0,-35256.0,-474374930.0,992.0,31312950.0,-32.0,86270.0,5
개인 및 가정용품 수리업,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
개인 및 가정용품 임대업,15069,381278275,46118650,6542.0,165213275.0,-4871.0,-122984925.0,-673.0,-16928700.0,152.0,3824400.0,-927.0,-23340950.0,34.0,860950.0,0.0,0.0,0.0,0.0,68.0,1726900.0,-1000.0,-25350000.0,2.0,50350.0,1
건물 건설업,4769820,37189685167,1390396757,412453.0,4576700457.0,-314874.0,-4236999954.0,-134823.0,-1187288213.0,-137960.0,-568953031.0,256.0,-10841223.0,18777.0,294171765.0,-6536.0,-18472870.0,-6190.0,-98607010.0,-3170.0,-784568654.0,45342.0,821689427.0,-8098.0,25898283.0,24
건물설비 설치 공사업,145143,891083191,260100,-10116.0,-19484784.0,10177.0,20329659.0,-2.0,-152970.0,-2.0,-152970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-969850.0,10.0,277945.0,2
