티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4375,280031,1232171214,-1.69,242443605,19.68,2344.0,11616943.0,51276.0,223262567.0,-61213.0,-268199510.0,-54352.0,-237793990.0,0.0,0.0,-494.0,-2161920.0,0.0,0.0,-6367.0,-28243600.0,0.0,0.0,8036.0,35274745.0,-443.0,-1954745.0
006840,AK홀딩스,유가,기타 금융업,지주사업,6600,13497,88248260,-0.3,283790,0.32,1764.0,11618760.0,2399.0,15574150.0,-4113.0,-26867230.0,-945.0,-6214240.0,0.0,0.0,0.0,0.0,0.0,0.0,-3168.0,-20652990.0,0.0,0.0,-209.0,-1360260.0,159.0,1034580.0
027410,BGF,유가,기타 금융업,지주회사,4250,112596,484889190,-2.52,53148045,10.96,-7618.0,-32562485.0,15787.0,67788800.0,-8175.0,-35252390.0,74.0,297250.0,0.0,0.0,-2511.0,-10789050.0,-1807.0,-7813035.0,0.0,0.0,-3931.0,-16947555.0,0.0,0.0,6.0,26075.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,120000,79135,9695624550,-6.4,2104200800,18.93,28025.0,3441748550.0,-6319.0,-809315200.0,-21643.0,-2624118850.0,-6023.0,-742988400.0,-366.0,-44183300.0,-871.0,-106150900.0,0.0,0.0,-11688.0,-1406213650.0,-2695.0,-324596100.0,-65.0,-8416300.0,2.0,101800.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,18170,1194991,22258230560,-1.62,2565186020,10.11,-104204.0,-1979407770.0,-97904.0,-1828147810.0,198798.0,3744916330.0,-45314.0,-839587420.0,5378.0,100984465.0,35339.0,681446825.0,1198.0,22328050.0,-18999.0,-346859830.0,220239.0,4108771250.0,-2517.0,-47130350.0,5827.0,109769600.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",37000,2278,84223300,-1.07,3547700,3.36,222.0,8224700.0,43.0,1507950.0,-12.0,-360800.0,-8.0,-212650.0,1.0,36850.0,-5.0,-185000.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.0,-9629700.0,7.0,257850.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,24850,328,8101850,-0.4,73950,0.91,26.0,644700.0,-24.0,-595550.0,1.0,25200.0,1.0,25200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-74350.0
001040,CJ,유가,기타 금융업,지주회사,183000,92996,17044555500,-2.03,2750425650,13.62,5091.0,924668600.0,-25594.0,-4702000300.0,20742.0,3821496600.0,-54.0,-8153800.0,-1928.0,-354930450.0,-346.0,-56182800.0,0.0,0.0,23427.0,4303515850.0,-358.0,-62933800.0,249.0,44670800.0,-488.0,-88835700.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4710,401192,1908565358,-0.42,405968395,21.27,140033.0,666178748.0,-148507.0,-706979051.0,-3470.0,-16368105.0,-1304.0,-6256265.0,0.0,0.0,-3450.0,-16265545.0,0.0,0.0,0.0,0.0,1284.0,6153705.0,13356.0,63865750.0,-1412.0,-6697342.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,168200,4223,702699150,-0.77,7365200,1.05,-474.0,-80457250.0,-173.0,-28690850.0,664.0,111935600.0,920.0,154680900.0,-150.0,-25028700.0,0.0,0.0,0.0,0.0,-115.0,-19200500.0,9.0,1483900.0,0.0,0.0,-17.0,-2787500.0
