corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00115931,디오,039840,K,신탁계약해지결과보고서,20260903000202,디오,20260903,
01009789,코스맥스,192820,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260903000200,김민수,20260903,
00136721,신영증권,001720,Y,투자설명서(일괄신고),20260903000198,신영증권,20260903,
00159209,한전기술,052690,Y,[기재정정]주주총회소집결의              ,20260903800330,한전기술,20260903,유
00219848,서희건설,035890,K,소송등의판결ㆍ결정(일정금액이상의청구)              ,20260903900317,서희건설,20260903,코
01170962,GRT,900290,K,[첨부정정]주요사항보고서(유상증자결정),20260903000184,GRT,20260903,
00115694,DB증권,016610,Y,투자설명서(일괄신고),20260903000185,DB증권,20260903,
00843900,육일씨엔에쓰,191410,K,증권발행결과(자율공시)              (제3자배정 유상증자),20260903900324,육일씨엔에쓰,20260903,코
00843900,육일씨엔에쓰,191410,K,증권발행결과(자율공시)              (제3자배정 유상증자-소액공모),20260903900318,육일씨엔에쓰,20260903,코
01454341,플래티어,367000,K,기업설명회(IR)개최              ,20260903900332,플래티어,20260903,코
00261443,NC,036570,Y,기업설명회(IR)개최(안내공시)              ,20260903800331,NC,20260903,유
00186559,아이티센씨티에스,031820,Y,주식등의대량보유상황보고서(일반),20260903000175,아이티센글로벌,20260903,
00186559,아이티센씨티에스,031820,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260903000169,아이티센글로벌,20260903,
00174527,HS화성,002460,Y,[기재정정]단일판매ㆍ공급계약체결              ,20260903800295,HS화성,20260903,유
00781202,파이온엑스,900100,K,주요사항보고서(유상증자결정),20260903000148,파이온엑스,20260903,
00136721,신영증권,001720,Y,일괄신고추가서류(파생결합증권-주가연계증권),20260903000166,신영증권,20260903,
00178790,동양이엔피,079960,K,[기재정정]금전대여결정              ,20260903900284,동양이엔피,20260903,코
00781202,파이온엑스,900100,K,[기재정정]주요사항보고서(유상증자결정),20260903000143,파이온엑스,20260903,
00113359,교보증권,030610,Y,증권발행실적보고서,20260903000158,교보증권,20260903,
00105606,금호에이치티,214330,Y,임원ㆍ주요주주특정증권등거래계획보고서,20260903000157,오성첨단소재,20260903,
00115694,DB증권,016610,Y,일괄신고추가서류(기타파생결합사채),20260903000155,DB증권,20260903,
