회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
유한양행,000100,제약·바이오·의료,2026Q2,2026Q2,4696.4,8,최신,백만달러,
두산,000150,전자부품·전기전자,2026Q2,2026Q2,105618.6,11,최신,"백만원,%",
DL,000210,화학·소재,2026Q2,2026Q2,256396.3,11,최신,백만원,
일동홀딩스,000230,제약·바이오·의료,2026Q2,,,0,수주표없음,,
노루홀딩스,000320,지주·기타,2026Q2,2026Q2,343.4,8,최신,"톤,백만원",
시알홀딩스,000480,기타,2026Q2,2024Q3,1246.8,4,수주표없음,천원,
대동,000490,반도체·디스플레이 장비,2026Q2,,,0,단위불명,,
엔비알모션,0004V0,철강·금속,2026Q2,2026Q2,911.0,4,최신,억원,
가온전선,000500,전력기기·전선,2026Q2,2026Q2,5978.2,11,최신,"톤,백만원",
동아쏘시오홀딩스,000640,지주·기타,2026Q2,2023Q4,1344.5,1,수주표없음,천원,
영풍,000670,철강·금속,2026Q2,2026Q2,4264.7,11,최신,"M/T,천㎡,천개/백만원",
LS네트웍스,000680,기타,2026Q2,2026Q2,131.7,11,최신,백만원,
현대건설,000720,건설·건축,2026Q2,2026Q2,757208.4,11,최신,백만원,
아크릴,0007C0,통신장비·IT,2026Q2,2026Q2,219.5,3,최신,백만원,
화천기공,000850,반도체·디스플레이 장비,2026Q2,2026Q2,918.7,11,최신,백만원,
한화,000880,화학·소재,2026Q2,2026Q2,1373707.7,11,최신,백만원,
에스엔시스,0008Z0,전력기기·전선,2026Q2,2026Q2,2833.3,5,최신,백만원,
한국주철관공업,000970,철강·금속,2026Q2,2026Q2,218.6,11,최신,"톤,백만원",
DB하이텍,000990,반도체·디스플레이 장비,2026Q2,2025Q1,1442.9,6,수주표없음,"wafer,K$",
페이퍼코리아,001020,화학·소재,2026Q2,2023Q4,733.0,1,수주표없음,천원,
CJ,001040,지주·기타,2026Q2,2026Q2,3104.6,6,최신,백만원,
채비,0011T0,전력기기·전선,2026Q2,2026Q2,103.0,1,최신,백만원,
금호전기,001210,전력기기·전선,2026Q2,2025Q2,12.5,7,수주표없음,천원,
동국홀딩스,001230,지주·기타,2026Q2,2026Q2,6111.1,11,최신,"톤,백만원",
GS글로벌,001250,기타,2026Q2,2026Q2,10.6,11,최신,백만원,
남광토건,001260,건설·건축,2026Q2,2026Q2,27601.0,11,최신,천원,
PKC,001340,화학·소재,2026Q2,,,0,수주표없음,,
KG케미칼,001390,화학·소재,2026Q2,2026Q2,286.6,11,최신,"톤,백만원",
세아베스틸지주,001430,철강·금속,2026Q2,2026Q2,3574.9,10,최신,"톤,백만원",
대한전선,001440,전력기기·전선,2026Q2,2026Q2,40629.3,11,최신,백만원,
삼부토건,001470,건설·건축,2026Q2,2026Q1,5795.4,9,수주표없음,천원,
동양,001520,화학·소재,2026Q2,2026Q2,807.3,11,최신,백만원,
디아이동일,001530,기타,2026Q2,,,0,수주표없음,,
조비,001550,화학·소재,2026Q2,2026Q2,596.9,10,최신,"톤,백만원",
금양,001570,화학·소재,2026Q1,2026Q1,815.6,6,최신,USD,
페스카로,0015S0,기타,2026Q2,2026Q2,394.8,3,최신,천원,
알루코,001780,철강·금속,2026Q2,2026Q2,1167.2,11,최신,백만원,
세미티에스,0017J0,반도체·디스플레이 장비,2026Q2,2026Q2,176.4,2,최신,천원,
삼화콘덴서공업,001820,전자부품·전기전자,2026Q2,2026Q2,18.5,11,최신,"Mpcs,백만원",
이화공영,001840,건설·건축,2026Q2,2026Q2,294.2,11,최신,백만원,
KISCO홀딩스,001940,철강·금속,2026Q2,2024Q1,395.1,2,수주표없음,"톤,백만원",
코오롱,002020,지주·기타,2026Q2,2026Q2,118495.7,11,최신,백만원,
경농,002100,화학·소재,2026Q2,2026Q2,596.9,10,최신,"톤,백만원",
도화엔지니어링,002150,건설·건축,2026Q2,2026Q2,19494.1,11,최신,백만원,
고려제강,002240,철강·금속,2026Q2,2025Q4,128.4,9,수주표없음,,
삼일기업공사,002290,건설·건축,2026Q2,2026Q2,1452.9,10,최신,천원,
넥센타이어,002350,화학·소재,2026Q2,2026Q2,8477.8,11,최신,"천개,백만원",
케이씨씨,002380,화학·소재,2026Q2,2026Q2,6277.6,11,최신,백만원,
범양건영,002410,건설·건축,2026Q2,2026Q2,1375.7,11,최신,천원,
HS화성,002460,건설·건축,2026Q2,2026Q2,25622.9,11,최신,백만원,
진흥기업,002780,건설·건축,2026Q2,2026Q2,38012.3,11,최신,백만원,
SUN&L,002820,화학·소재,2026Q2,2026Q2,732.6,11,최신,백만원,
금호건설,002990,건설·건축,2026Q2,2026Q2,448871.8,11,최신,백만원,
혜인,003010,기계·플랜트,2026Q2,2024Q4,240.9,5,수주표없음,,
세아제강지주,003030,지주·기타,2026Q2,2026Q2,4302.5,11,최신,백만원,
에이프로젠바이오로직스,003060,제약·바이오·의료,2026Q2,2025Q4,0.4,7,수주표없음,백만원,
코오롱글로벌,003070,건설·건축,2026Q2,2026Q2,118495.7,11,최신,백만원,
선광,003100,기타,2026Q2,2026Q1,1815.9,9,수주표없음,원,
디아이,003160,반도체·디스플레이 장비,2026Q2,2026Q2,2614.8,11,최신,백만원,
한일홀딩스,003300,화학·소재,2026Q2,2026Q2,1830.7,11,최신,백만원,
대한항공,003490,기계·플랜트,2026Q2,2026Q2,1108.0,6,최신,억원,
LG,003550,지주·기타,2026Q2,2026Q2,53472.9,7,최신,백만원,
포스코퓨처엠,003670,2차전지·에너지,2026Q2,2026Q2,259.6,11,최신,백만원,
삼영,003720,화학·소재,2026Q2,2026Q2,9.6,4,최신,,
현대제철,004020,철강·금속,2026Q2,2025Q2,485.7,7,수주표없음,"천톤,백만원,VAT포함",
한솔홀딩스,004150,지주·기타,2026Q2,2026Q2,160.6,11,최신,백만원,
서울식품공업,004410,기타,2026Q2,2026Q2,48.0,11,최신,천원,
삼일씨엔에스,004440,화학·소재,2026Q2,2026Q2,1323.8,10,최신,백만원,
창해에탄올,004650,기타,2026Q2,2026Q2,63.3,10,최신,천원,
삼천리,004690,2차전지·에너지,2026Q2,2026Q2,1568.1,11,최신,백만원,
한솔테크닉스,004710,전자부품·전기전자,2026Q2,2025Q2,39.5,7,수주표없음,"MW,백만원",
효성,004800,지주·기타,2026Q2,2026Q2,329582.5,11,최신,백만원,
덕성,004830,화학·소재,2026Q2,2026Q2,29.9,11,최신,"KM,백만원",
