Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,3696483,2957203,3696483
2020-02-01,4373398,6614073,8069881
2020-03-01,4442299,10192372,12512180
2020-04-01,5058009,13792763,17570189
2020-05-01,3702783,16477126,21272972
2020-06-01,3620147,18933680,24893119
2020-07-01,4229610,22040922,29122729
2020-08-01,3952560,24953541,33075289
2020-09-01,4358324,28301509,37433613
2020-10-01,5027968,32284235,42461581
2020-11-01,4886529,36522389,47348110
2020-12-01,5673775,41374899,53021885
2021-01-01,4976516,4136758,4976516
2021-02-01,4779348,8186511,9755864
2021-03-01,6313791,13424924,16069655
2021-04-01,5929545,17799704,21999200
2021-05-01,4839315,21704238,26838515
2021-06-01,5469780,25613236,32308295
2021-07-01,5671396,29869424,37979691
2021-08-01,5149648,33881513,43129339
2021-09-01,5542764,37555755,48672103
2021-10-01,5990627,41907338,54662730
2021-11-01,5904511,45973474,60567241
2021-12-01,6073828,49993522,66641069
2022-01-01,4989705,3173886,4989705
2022-02-01,6368670,7529985,11358375
2022-03-01,6535090,12256012,17893465
2022-04-01,6649174,16558255,24542639
2022-05-01,5691079,20167110,30233718
2022-06-01,7294488,24973890,37528206
2022-07-01,6618561,28942073,44146767
2022-08-01,5689719,32562585,49836486
2022-09-01,5688468,36232318,55524954
2022-10-01,5768491,39995741,61293445
2022-11-01,5946536,43612906,67239981
2022-12-01,5676660,47313165,72916641
2023-01-01,3619340,2290084,3619340
2023-02-01,4692342,5406229,8311682
2023-03-01,5247255,8808083,13558937
2023-04-01,5244046,12042480,18802983
2023-05-01,4669638,14912969,23472621
2023-06-01,5431891,18170266,28904512
2023-07-01,5816370,21459969,34720882
2023-08-01,5471858,24497251,40192740
2023-09-01,5798272,27844204,45991012
2023-10-01,5875632,31207610,51866644
2023-11-01,6006326,34702376,57872970
2023-12-01,6491202,38463190,64364172
2024-01-01,4839988,2842254,4839988
2024-02-01,5742297,6313366,10582285
2024-03-01,6516806,10269245,17099091
2024-04-01,6641926,14038162,23741017
2024-05-01,6313248,17658722,30054265
2024-06-01,6532303,21275384,36586568
2024-07-01,7240352,25142059,43826920
2024-08-01,5953865,28634118,49780785
2024-09-01,5903406,31942342,55684191
2024-10-01,6687762,35574309,62371953
2024-11-01,6453946,39321987,68825899
2024-12-01,7475610,43252585,76301509
2025-01-01,4799767,2664586,4799767
2025-02-01,6752252,6360337,11552019
2025-03-01,6866248,10292190,18418267
2025-04-01,7394501,14428187,25812768
2025-05-01,6243215,17966809,32055983
2025-06-01,7277468,21634770,39333451
2025-07-01,7686990,25357658,47020441
2025-08-01,6727829,28683810,53748270
2025-09-01,7088651,32357197,60836921
2025-10-01,7940137,36549738,68777058
2025-11-01,7547861,40623393,76324919
2025-12-01,8210132,44755409,84535051
2026-01-01,7507183,3643047,7507183
2026-02-01,6739421,7253997,14246604
2026-03-01,7965738,11592391,22212342
2026-04-01,8951895,16182129,31164237
2026-05-01,7552430,19954403,38716667
