Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,406995,51358,406995
2020-02-01,401302,91151,808297
2020-03-01,672247,206431,1480544
2020-04-01,734897,351705,2215441
2020-05-01,569826,722440,2785267
2020-06-01,400572,827694,3185839
2020-07-01,403787,875992,3589626
2020-08-01,276042,925646,3865668
2020-09-01,638135,991307,4503803
2020-10-01,351633,1044546,4855436
2020-11-01,429457,1105041,5284893
2020-12-01,339698,1175108,5624591
2021-01-01,475035,64380,475035
2021-02-01,512759,143648,987794
2021-03-01,657567,250567,1645361
2021-04-01,629519,333480,2274880
2021-05-01,513629,414565,2788509
2021-06-01,616633,507314,3405142
2021-07-01,443302,552649,3848444
2021-08-01,632991,642246,4481435
2021-09-01,657788,713235,5139223
2021-10-01,329955,760760,5469178
2021-11-01,590128,842279,6059306
2021-12-01,788850,951088,6848156
2022-01-01,498369,53270,498369
2022-02-01,527208,124134,1025577
2022-03-01,571825,205821,1597402
2022-04-01,928812,287696,2526214
2022-05-01,524166,361690,3050380
2022-06-01,752716,445911,3803096
2022-07-01,690864,509852,4493960
2022-08-01,618835,587592,5112795
2022-09-01,753323,648899,5866118
2022-10-01,974824,740330,6840942
2022-11-01,473987,791910,7314929
2022-12-01,806732,872083,8121661
2023-01-01,424963,50223,424963
2023-02-01,889751,135336,1314714
2023-03-01,1187129,249919,2501843
2023-04-01,770455,314116,3272298
2023-05-01,597574,371403,3869872
2023-06-01,529634,442276,4399506
2023-07-01,729260,502198,5128766
2023-08-01,682511,550603,5811277
2023-09-01,731238,628559,6542515
2023-10-01,615648,707724,7158163
2023-11-01,815750,793894,7973913
2023-12-01,824337,865983,8798250
2024-01-01,618181,52332,618181
2024-02-01,879058,130142,1497239
2024-03-01,1158005,223641,2655244
2024-04-01,750858,285366,3406102
2024-05-01,890215,348633,4296317
2024-06-01,756635,412587,5052952
2024-07-01,783710,477142,5836662
2024-08-01,838581,537356,6675243
2024-09-01,761737,600760,7436980
2024-10-01,971190,672141,8408170
2024-11-01,1009884,740333,9418054
2024-12-01,1241690,850971,10659744
2025-01-01,1012001,83328,1012001
2025-02-01,1191217,181610,2203218
2025-03-01,1331148,293157,3534366
2025-04-01,1040472,373557,4574838
2025-05-01,901218,449425,5476056
2025-06-01,893770,531408,6369826
2025-07-01,1309078,671929,7678904
2025-08-01,1138417,766076,8817321
2025-09-01,1279461,887533,10096782
2025-10-01,1491650,988167,11588432
2025-11-01,875148,1065287,12463580
2025-12-01,893004,1144320,13356584
2026-01-01,1099375,86281,1099375
2026-02-01,1223612,222190,2322987
2026-03-01,1590521,372662,3913508
2026-04-01,1306147,477986,5219655
2026-05-01,1368806,592967,6588461
