Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,3213,87792,1711283
2020-02-01,7694,170200,3373528
2020-03-01,11164,281323,5328223
2020-04-01,14334,354953,6754543
2020-05-01,17429,417584,8005623
2020-06-01,20798,511903,9813481
2020-07-01,25395,645602,11883405
2020-08-01,30414,877029,15151951
2020-09-01,34976,974351,17006354
2020-10-01,41196,1082672,19232257
2020-11-01,48622,1322663,22332978
2020-12-01,57057,1441827,25027352
2021-01-01,5728,219945,2638109
2021-02-01,12278,342360,5116025
2021-03-01,17805,442550,7168230
2021-04-01,24994,529386,9304361
2021-05-01,29953,602247,11194958
2021-06-01,35237,761098,13532602
2021-07-01,40944,852243,15543272
2021-08-01,46187,993481,17740182
2021-09-01,51355,1084951,19771746
2021-10-01,58720,1199161,22559557
2021-11-01,63444,1291336,24548541
2021-12-01,68239,1502460,26885060
2022-01-01,4084,75868,1814101
2022-02-01,8777,178481,3717817
2022-03-01,13132,496657,7081879
2022-04-01,18757,602305,9521533
2022-05-01,23298,704516,11924056
2022-06-01,27851,881580,14505206
2022-07-01,34290,950792,16572899
2022-08-01,39409,1037370,18432662
2022-09-01,45482,1128342,20740830
2022-10-01,51849,1239762,23741371
2022-11-01,56768,1366445,26483133
2022-12-01,61837,1463995,28693711
2023-01-01,3504,63455,1525994
2023-02-01,8215,181057,3972082
2023-03-01,13511,285211,6866359
2023-04-01,18827,381147,9629654
2023-05-01,22914,461599,11870104
2023-06-01,27461,598579,14091096
2023-07-01,32450,706733,16648725
2023-08-01,35526,824468,18573590
2023-09-01,39083,891480,20687524
2023-10-01,43473,963525,22619815
2023-11-01,48119,1192460,25601641
2023-12-01,53448,1333822,28914347
2024-01-01,3252,80090,1839528
2024-02-01,7765,185609,3871863
2024-03-01,12437,306744,6578987
2024-04-01,16749,374671,8588815
2024-05-01,20637,481909,11136496
2024-06-01,24847,557011,13315182
2024-07-01,29433,708873,16319399
2024-08-01,33197,795828,18202180
2024-09-01,38302,970811,21439879
2024-10-01,42706,1095010,24125808
2024-11-01,46671,1182770,26089240
2024-12-01,50729,1390972,29758891
2025-01-01,2958,48078,1254224
2025-02-01,5710,141816,2994099
2025-03-01,9429,289061,5152829
2025-04-01,13296,391790,7064373
2025-05-01,16495,498181,9274632
2025-06-01,21195,607043,12322709
2025-07-01,26103,706244,15025021
2025-08-01,29541,918938,18181717
2025-09-01,33014,1009678,20323739
2025-10-01,36408,1066440,21948782
2025-11-01,41075,1215911,24711712
2025-12-01,45070,1328235,27559593
2026-01-01,3278,225709,3915670
2026-02-01,6944,292357,6033717
2026-03-01,11609,426556,9084127
2026-04-01,16545,527797,11896261
2026-05-01,21060,617389,14372291
