Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,1448,547339,7189271
2020-02-01,3269,1176340,16296135
2020-03-01,5189,2092342,32898018
2020-04-01,7387,3847570,47341957
2020-05-01,10062,5640862,60228133
2020-06-01,12598,6984299,75145487
2020-07-01,14439,7920954,91112043
2020-08-01,16069,8975147,103197673
2020-09-01,17844,9871538,114050022
2020-10-01,20898,10800135,131228581
2020-11-01,23935,11646082,143342460
2020-12-01,26566,12684649,158200407
2021-01-01,2020,1024571,12800140
2021-02-01,4950,2129309,24679627
2021-03-01,8357,3597869,41364807
2021-04-01,11098,5057550,57680296
2021-05-01,13468,6430392,72831478
2021-06-01,16339,8017117,94593448
2021-07-01,19469,9708966,113874668
2021-08-01,23236,11337817,137294297
2021-09-01,26058,12368486,150726609
2021-10-01,32867,13747893,175779739
2021-11-01,36034,14917514,190025084
2021-12-01,39494,16290639,207300941
2022-01-01,2441,921557,12195599
2022-02-01,5684,2328142,37401233
2022-03-01,9763,4139696,56592764
2022-04-01,13225,5473904,76628949
2022-05-01,16435,7169094,98246101
2022-06-01,22319,9008357,120964783
2022-07-01,29622,11087638,150043791
2022-08-01,34570,12889407,170313741
2022-09-01,39283,14103753,188086762
2022-10-01,43442,15408183,209801463
2022-11-01,47369,16532526,230510216
2022-12-01,51417,18044144,252460389
2023-01-01,2441,995496,15163707
2023-02-01,5866,2199596,37860417
2023-03-01,9413,3877227,66458494
2023-04-01,12394,5140547,88666348
2023-05-01,14897,6430652,109482830
2023-06-01,17149,7993826,131035992
2023-07-01,19579,9121682,151997930
2023-08-01,21434,9972350,166090195
2023-09-01,23845,11089584,190967781
2023-10-01,26335,12173413,211577757
2023-11-01,28555,13098244,226248076
2023-12-01,31580,14238672,251104255
2024-01-01,2024,801876,13247029
2024-02-01,4270,1655514,34135391
2024-03-01,6816,3170190,59637713
2024-04-01,10023,4366889,80631435
2024-05-01,12800,5425794,99371678
2024-06-01,16551,6526007,126630519
2024-07-01,20420,7654662,154207519
2024-08-01,23952,8791115,176263078
2024-09-01,27858,9984493,202947331
2024-10-01,32260,11288787,230445910
2024-11-01,36483,12547979,268083736
2024-12-01,40748,13650916,294082995
2025-01-01,3085,806019,19344329
2025-02-01,7065,1942364,59271274
2025-03-01,12392,3507099,98454345
2025-04-01,17019,4919331,127647906
2025-05-01,20857,6082526,151368930
2025-06-01,25914,7712835,186654945
2025-07-01,31140,9009896,217661052
2025-08-01,35275,10237644,241358207
2025-09-01,38985,11664377,273399116
2025-10-01,43651,13121717,299647379
2025-11-01,47681,14291098,330087270
2025-12-01,52147,15763644,362395796
2026-01-01,3511,1334040,23778678
2026-02-01,6961,2527856,50507832
2026-03-01,12013,3931804,89083042
2026-04-01,16703,5174099,116233252
2026-05-01,21635,6604297,143872656
