Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,2255695,10887,2255695
2020-02-01,2807331,22506,5063026
2020-03-01,2270269,34658,7333295
2020-04-01,2783194,46781,10116489
2020-05-01,2380885,58076,12497374
2020-06-01,2273496,68624,14770870
2020-07-01,2634649,80769,17405519
2020-08-01,2369697,92689,19775216
2020-09-01,2324809,103572,22100025
2020-10-01,2728645,117401,24828670
2020-11-01,2689455,130215,27518125
2020-12-01,3020043,145263,30538168
2021-01-01,2519461,13854,2519461
2021-02-01,2883483,29227,5402944
2021-03-01,3061456,47494,8464400
2021-04-01,3229237,65062,11693637
2021-05-01,3310597,82283,15004234
2021-06-01,3376767,101594,18381001
2021-07-01,3508224,117400,21889225
2021-08-01,3157476,131702,25046701
2021-09-01,3623455,147321,28670156
2021-10-01,3402214,163477,32072370
2021-11-01,3337746,177897,35410116
2021-12-01,4038597,195708,39448713
2022-01-01,3060829,15018,3060829
2022-02-01,3361083,29930,6421912
2022-03-01,3557721,44732,9979633
2022-04-01,4048185,59631,14027818
2022-05-01,3403495,71708,17431313
2022-06-01,4011084,86017,21442397
2022-07-01,4374282,100260,25816679
2022-08-01,3276257,110293,29092936
2022-09-01,3071290,120460,32164226
2022-10-01,3499838,131713,35664064
2022-11-01,3125419,139446,38789483
2022-12-01,3477959,146602,42267442
2023-01-01,2758274,6107,2758274
2023-02-01,2900974,14035,5659248
2023-03-01,3310187,21339,8969435
2023-04-01,3169602,29926,12139037
2023-05-01,2732006,37782,14871043
2023-06-01,2921358,44304,17792401
2023-07-01,3040009,53713,20832410
2023-08-01,3056050,62983,23888460
2023-09-01,3438301,71848,27326761
2023-10-01,3298854,83089,30625615
2023-11-01,3477389,92306,34103004
2023-12-01,3624832,106023,37727836
2024-01-01,3092797,9910,3092797
2024-02-01,3547902,22171,6640699
2024-03-01,4477966,37716,11118665
2024-04-01,3702266,50385,14820931
2024-05-01,3163636,62322,17984567
2024-06-01,4280100,79230,22264667
2024-07-01,4145354,92549,26410021
2024-08-01,3545096,105674,29955117
2024-09-01,3543391,118932,33498508
2024-10-01,4062562,131966,37561070
2024-11-01,4521357,144722,42082427
2024-12-01,4398193,157323,46480620
2025-01-01,3159675,8083,3159675
2025-02-01,3545822,20374,6705497
2025-03-01,3812990,35044,10518487
2025-04-01,3762089,47451,14280576
2025-05-01,2751687,60408,17032263
2025-06-01,3894352,75062,20926615
2025-07-01,3802146,88630,24728761
2025-08-01,3525557,101836,28254318
2025-09-01,3246411,112121,31500729
2025-10-01,3932704,124592,35433433
2025-11-01,4050838,137145,39484271
2025-12-01,5448283,154982,44932554
2026-01-01,3625505,9877,3625505
2026-02-01,4150323,21741,7775828
2026-03-01,5033110,36445,12808938
2026-04-01,4883437,51092,17692375
2026-05-01,4866464,66447,22558839
