Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,100208885,640330351,100208885
2020-02-01,96148914,1210402434,196357799
2020-03-01,113443562,1853202745,309801361
2020-04-01,114553422,2465987829,424354783
2020-05-01,112514103,3092757870,536868886
2020-06-01,104533160,3659215384,641402046
2020-07-01,116099786,4254881654,757501832
2020-08-01,125670169,4889303395,883172001
2020-09-01,136389032,5528905394,1019561033
2020-10-01,129999604,6203048899,1149560637
2020-11-01,120247297,6839854435,1269807934
2020-12-01,115481876,7500143661,1385289810
2021-01-01,117014050,708149787,117014050
2021-02-01,108910952,1357229910,225925002
2021-03-01,123034036,2058996784,348959038
2021-04-01,118985645,2669750013,467944683
2021-05-01,131961792,3327799896,599906475
2021-06-01,133995399,4037970243,733901874
2021-07-01,142147983,4730026183,876049857
2021-08-01,142703619,5405011175,1018753476
2021-09-01,148930106,6074427595,1167683582
2021-10-01,152712772,6744941391,1320396354
2021-11-01,139048137,7401820411,1459444491
2021-12-01,152329913,8086854050,1611774404
2022-01-01,142716038,651416624,142716038
2022-02-01,132792506,1206426308,275508544
2022-03-01,125249969,1693683123,400758513
2022-04-01,130461485,2322806864,531219998
2022-05-01,157744435,2989762967,688964433
2022-06-01,190948940,3688461021,879913373
2022-07-01,166255913,4338000104,1046169286
2022-08-01,114456445,4890536886,1160625731
2022-09-01,169128006,5484242984,1329753737
2022-10-01,155377144,6065093303,1485130881
2022-11-01,135867906,6596433755,1620998787
2022-12-01,138800060,7142580624,1759798847
2023-01-01,133475939,528839037,133475939
2023-02-01,135871993,1063708599,269347932
2023-03-01,139760257,1639345016,409108189
2023-04-01,114097953,2026512523,523206142
2023-05-01,127200795,2589729245,650406937
2023-06-01,141817122,3140300568,792224059
2023-07-01,130042080,4926410919,922266139
2023-08-01,133647879,5464830570,1055914018
2023-09-01,140932532,6959528259,1196846550
2023-10-01,145062659,7473635167,1341909209
2023-11-01,139301787,7953963735,1481210996
2023-12-01,132619144,8459311534,1613830140
2024-01-01,139422045,556008577,139422045
2024-02-01,133864924,1069379736,273286969
2024-03-01,159464932,1637637176,432751901
2024-04-01,154145033,2192184523,586896934
2024-05-01,175759079,2775248553,762656013
2024-06-01,164244548,3347151536,926900561
2024-07-01,180647901,3953817252,1107548462
2024-08-01,177755421,4504563340,1285303883
2024-09-01,175138033,5023981250,1460441916
2024-10-01,163738305,5537186061,1624180221
2024-11-01,157164100,6353848248,1781344321
2024-12-01,170437683,6849775806,1951782004
2025-01-01,148513639,462433918,148513639
2025-02-01,141399237,899879090,289912876
2025-03-01,175426895,1470986647,465339771
2025-04-01,152011897,1957790264,617351668
2025-05-01,159313912,2504631202,776665580
2025-06-01,163914102,3018361400,940579682
2025-07-01,180447764,3559592851,1121027446
2025-08-01,184276743,4098988848,1305304189
2025-09-01,195115761,4612609620,1500419950
2025-10-01,210282393,5175999434,1710702343
2025-11-01,189058432,5693400312,1899760775
2025-12-01,213247245,6247988009,2113008020
2026-01-01,218840612,585014537,218840612
2026-02-01,249082950,1090025718,467923562
2026-03-01,258850248,1627019805,726773810
2026-04-01,314124897,2205026322,1040898707
2026-05-01,315806084,2767213528,1356704791
