Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,1648543,179628,1648543
2020-02-01,1641634,353211,3290177
2020-03-01,2698676,1144014,5988853
2020-04-01,1881301,1352599,7870154
2020-05-01,1686339,1547910,9556493
2020-06-01,1905703,2007419,11462196
2020-07-01,2344439,3018634,13806635
2020-08-01,2636347,4030653,16442982
2020-09-01,2090775,4619757,18533757
2020-10-01,1848714,4818669,20382471
2020-11-01,1730561,5392579,22113032
2020-12-01,2013842,5630381,24126874
2021-01-01,1664146,363391,1664146
2021-02-01,3295185,3520358,4959331
2021-03-01,2365733,4038687,7325064
2021-04-01,2403617,4466122,9728681
2021-05-01,2193796,5174055,11922477
2021-06-01,4060326,8095061,15982803
2021-07-01,2126187,8573027,18108990
2021-08-01,1636168,8872442,19745158
2021-09-01,2270916,9346332,22016074
2021-10-01,2178890,9639425,24194964
2021-11-01,3059953,10264073,27254917
2021-12-01,4386546,13187090,31641463
2022-01-01,2319909,436024,2319909
2022-02-01,2394048,848163,4713957
2022-03-01,3574235,2346766,8288192
2022-04-01,5027774,6503445,13315966
2022-05-01,2206256,6783483,15522222
2022-06-01,2910297,7511717,18432519
2022-07-01,6196246,12697986,24628765
2022-08-01,2956425,13042802,27585190
2022-09-01,4383788,14976117,31968978
2022-10-01,4481961,18001641,36450939
2022-11-01,3621885,18374019,40072824
2022-12-01,6220281,22338963,46293105
2023-01-01,3534407,571583,3534407
2023-02-01,2528472,967884,6062879
2023-03-01,3549047,1892722,9611926
2023-04-01,6276800,5609528,15888726
2023-05-01,3166107,6524034,19054833
2023-06-01,4189871,8421897,23244704
2023-07-01,3575106,11600785,26819810
2023-08-01,1582653,11825216,28402463
2023-09-01,2032941,12199189,30435404
2023-10-01,2271879,13012416,32707283
2023-11-01,2017866,14056860,34725149
2023-12-01,2505432,14298391,37230581
2024-01-01,1704245,350364,1704245
2024-02-01,2220798,749782,3925043
2024-03-01,2240603,1091772,6165646
2024-04-01,2974470,1812190,9140116
2024-05-01,1897163,2169989,11037279
2024-06-01,2799730,2744124,13837009
2024-07-01,2004740,3003208,15841749
2024-08-01,1947432,3256396,17789181
2024-09-01,2860904,4221696,20650085
2024-10-01,3441650,4591098,24091735
2024-11-01,3381388,5019424,27473123
2024-12-01,3879315,5520544,31352438
2025-01-01,2957342,290828,2957342
2025-02-01,3975559,755087,6932901
2025-03-01,3718174,1134495,10651075
2025-04-01,4492862,2255706,15143937
2025-05-01,3396769,2696521,18540706
2025-06-01,4096959,3201542,22637665
2025-07-01,4035698,3652304,26673363
2025-08-01,4186393,4209029,30859756
2025-09-01,3298578,4506066,34158334
2025-10-01,4191603,5028286,38349937
2025-11-01,4988967,5718027,43338904
2025-12-01,5321753,6149317,48660657
2026-01-01,5004945,603483,5004945
2026-02-01,4621385,1021812,9626330
2026-03-01,5519979,1505155,15146309
2026-04-01,5130014,2226014,20276323
2026-05-01,5050922,2514867,25327245
