Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,1808156,142402,1808156
2020-02-01,2439067,304785,4247223
2020-03-01,2658853,518932,6906076
2020-04-01,2416978,692264,9323054
2020-05-01,2089721,886557,11412775
2020-06-01,2030307,1052062,13443082
2020-07-01,2062080,1210412,15505162
2020-08-01,2232665,1400530,17737827
2020-09-01,2076572,1566606,19814399
2020-10-01,2156842,1760823,21971241
2020-11-01,1860035,1912678,23831276
2020-12-01,2146048,2101926,25977324
2021-01-01,1756228,154466,1756228
2021-02-01,1589482,293401,3345710
2021-03-01,2712820,495157,6058530
2021-04-01,2425354,684774,8483884
2021-05-01,2032883,844880,10516767
2021-06-01,2212383,1024454,12729150
2021-07-01,2854408,1236140,15583558
2021-08-01,2459499,1427332,18043057
2021-09-01,2379448,1597438,20422505
2021-10-01,2814487,1802750,23236992
2021-11-01,2421290,1989071,25658282
2021-12-01,2185927,2152088,27844209
2022-01-01,2115910,150708,2115910
2022-02-01,2282298,332156,4398208
2022-03-01,3347329,559998,7745537
2022-04-01,3046086,805927,10791623
2022-05-01,2430259,989732,13221882
2022-06-01,3191378,1222594,16413260
2022-07-01,3412563,1445583,19825823
2022-08-01,2846863,1626198,22672686
2022-09-01,3175066,1829631,25847752
2022-10-01,3070571,1993214,28918323
2022-11-01,3656126,2209139,32574449
2022-12-01,3607736,2447647,36182185
2023-01-01,2510606,149947,2510606
2023-02-01,2993256,337269,5503862
2023-03-01,3636868,570531,9140730
2023-04-01,3677160,804494,12817890
2023-05-01,2638055,980257,15455945
2023-06-01,3002243,1173303,18458188
2023-07-01,3025209,1361650,21483397
2023-08-01,2077404,1479112,23560801
2023-09-01,2630301,1620197,26191102
2023-10-01,2052200,1716465,28243302
2023-11-01,1342255,1761265,29585557
2023-12-01,1642631,1839194,31228188
2024-01-01,1637340,80639,1637340
2024-02-01,1541951,170904,3179291
2024-03-01,2692503,332266,5871794
2024-04-01,2541775,460430,8413569
2024-05-01,1656695,567516,10070264
2024-06-01,2688798,716232,12759062
2024-07-01,2427514,861965,15186576
2024-08-01,1839326,964083,17025902
2024-09-01,1890882,1088928,18916784
2024-10-01,2139287,1217693,21056071
2024-11-01,2211194,1340969,23267265
2024-12-01,2131276,1485712,25398541
2025-01-01,1866147,130182,1866147
2025-02-01,2647716,325977,4513863
2025-03-01,2395825,457960,6909688
2025-04-01,2864209,634601,9773897
2025-05-01,2461983,777847,12235880
2025-06-01,3202076,983358,15437956
2025-07-01,3240196,1173808,18678152
2025-08-01,2686006,1320076,21364158
2025-09-01,3194955,1517822,24559113
2025-10-01,3556899,1753028,28116012
2025-11-01,3336257,1908978,31452269
2025-12-01,3677765,2108817,35130034
2026-01-01,3239835,156258,3239835
2026-02-01,4001907,331561,7241742
2026-03-01,4630574,529307,11872316
2026-04-01,4836944,767039,16709260
2026-05-01,4004903,913169,20714163
