Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,25036359,4624643,25036359
2020-02-01,27808491,10030601,52844850
2020-03-01,29596749,15542357,82441599
2020-04-01,30288665,20640854,112730264
2020-05-01,21652211,24280782,134382475
2020-06-01,21343977,27070697,155726452
2020-07-01,22111865,30216240,177838317
2020-08-01,22914058,33577110,200752375
2020-09-01,25054397,37448035,225806772
2020-10-01,26914810,41790714,252721582
2020-11-01,25039245,46848569,277760827
2020-12-01,30099061,52349421,307859888
2021-01-01,28387484,4698284,28387484
2021-02-01,27573384,9531334,55960868
2021-03-01,29982954,14333848,85943822
2021-04-01,30969858,19272782,116913680
2021-05-01,28073124,23730690,144986804
2021-06-01,30310150,28557562,175296954
2021-07-01,33654499,33699690,208951453
2021-08-01,28601053,38180637,237552506
2021-09-01,31510081,42828433,269062587
2021-10-01,32460039,47468724,301522626
2021-11-01,30956138,51905743,332478764
2021-12-01,35539675,57297476,368018439
2022-01-01,31462835,4715513,31462835
2022-02-01,31959918,9715354,63422753
2022-03-01,32942132,14765697,96364885
2022-04-01,31139136,19367276,127504021
2022-05-01,31481704,23472020,158985725
2022-06-01,37081012,28325026,196066737
2022-07-01,39316651,33433847,235383388
2022-08-01,36591404,38091022,271974792
2022-09-01,35169009,42575579,307143801
2022-10-01,38076419,47339610,345220220
2022-11-01,36201052,51904849,381421272
2022-12-01,37057064,56699179,418478336
2023-01-01,25186852,3360565,25186852
2023-02-01,29107022,7405492,54293874
2023-03-01,28635067,11520352,82928941
2023-04-01,33059706,15887279,115988647
2023-05-01,29486553,19782735,145475200
2023-06-01,34489447,24225157,179964647
2023-07-01,34312651,28916862,214277298
2023-08-01,33944961,32933437,248222259
2023-09-01,32737419,36856676,280959678
2023-10-01,34360354,40912763,315320032
2023-11-01,36457765,45305600,351777797
2023-12-01,40461790,50018665,392239587
2024-01-01,37874688,4210104,37874688
2024-02-01,34210468,8648005,72085156
2024-03-01,40198731,13442116,112283887
2024-04-01,40360216,18162733,152644103
2024-05-01,39838221,22794708,192482324
2024-06-01,40959578,27736498,233441902
2024-07-01,45921687,33037028,279363589
2024-08-01,41812027,37786437,321175616
2024-09-01,41278982,42547979,362454598
2024-10-01,42449945,47515367,404904543
2024-11-01,40205505,52001643,445110048
2024-12-01,43503149,57239387,488613197
2025-01-01,37796905,4181313,37796905
2025-02-01,41983747,8742209,79780652
2025-03-01,42495685,13471787,122276337
2025-04-01,43858313,18238180,166134650
2025-05-01,40789413,23146061,206924063
2025-06-01,41165231,27660868,248089294
2025-07-01,46790795,32473035,294880089
2025-08-01,42571073,36862254,337451162
2025-09-01,43761881,41110711,381213043
2025-10-01,45980005,45654042,427193048
2025-11-01,46659060,49997978,473852108
2025-12-01,51361023,55144842,525213131
2026-01-01,49883790,4364717,49883790
2026-02-01,46401957,8658505,96285747
2026-03-01,55131753,13269832,151417500
2026-04-01,59890358,18713240,211307858
2026-05-01,50891234,23384362,262199092
