Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,465,2835497,84776667
2020-02-01,1129,6982737,217393050
2020-03-01,1900,10971206,339715424
2020-04-01,2550,14550772,436266780
2020-05-01,3220,18256575,544251866
2020-06-01,3965,22205857,657725314
2020-07-01,4644,25600308,760452694
2020-08-01,5232,28693621,841360702
2020-09-01,6083,31734630,936125561
2020-10-01,6767,34848508,1027203261
2020-11-01,7448,38728382,1132876684
2020-12-01,8493,44152629,1283212162
2021-01-01,866,4728275,142616205
2021-02-01,1708,10045154,288448306
2021-03-01,2798,15410358,430910938
2021-04-01,3980,21416020,618772402
2021-05-01,4882,26077148,751254413
2021-06-01,6104,31986559,924103296
2021-07-01,7409,38442090,1097728908
2021-08-01,8618,44698129,1266805241
2021-09-01,9661,50096392,1435299188
2021-10-01,10726,55750332,1604452708
2021-11-01,11838,61753803,1796291566
2021-12-01,13147,69578365,2017128351
2022-01-01,892,5811649,171981151
2022-02-01,2024,11448108,344703207
2022-03-01,3400,18914527,596342674
2022-04-01,4546,24597756,790901607
2022-05-01,5733,30046400,966158872
2022-06-01,6857,36142012,1169696678
2022-07-01,8218,43177495,1405286140
2022-08-01,9339,49264031,1615047513
2022-09-01,10601,55962675,1841972593
2022-10-01,11836,62187844,2047623833
2022-11-01,12975,68358110,2232111912
2022-12-01,14169,75289126,2477605811
2023-01-01,706,4171341,132090392
2023-02-01,1687,9474979,305547553
2023-03-01,2986,17196619,568233160
2023-04-01,3832,22537959,755385558
2023-05-01,4563,26589971,896192947
2023-06-01,5485,31497886,1074744085
2023-07-01,6375,36433811,1244065002
2023-08-01,7059,40245898,1372103740
2023-09-01,7964,45564848,1572030192
2023-10-01,8787,49962821,1735943038
2023-11-01,9526,54514583,1917433962
2023-12-01,10691,61219370,2186258631
2024-01-01,852,4887993,179793755
2024-02-01,1696,9595205,364274549
2024-03-01,2841,16537831,645613718
2024-04-01,3841,23078687,896493329
2024-05-01,4670,28071105,1110718354
2024-06-01,5564,34152899,1365865069
2024-07-01,6395,39466892,1594727967
2024-08-01,7210,44715863,1802680943
2024-09-01,8140,50734662,2062158763
2024-10-01,9087,57091197,2331676354
2024-11-01,10008,62707014,2560163786
2024-12-01,11189,70212115,2874380541
2025-01-01,727,4648419,188968405
2025-02-01,1623,10311317,426692286
2025-03-01,2824,17972301,756867347
2025-04-01,3750,23277912,979371370
2025-05-01,4557,27637913,1160020787
2025-06-01,5533,32898135,1397371366
2025-07-01,6421,37718674,1594668898
2025-08-01,7223,43016190,1809374975
2025-09-01,8201,48701269,2049614641
2025-10-01,9071,54081858,2268206985
2025-11-01,9994,59775162,2497503648
2025-12-01,11050,66382900,2773958368
2026-01-01,765,4188168,174685389
2026-02-01,1620,8994852,363490376
2026-03-01,3059,17561978,723233085
2026-04-01,4196,23501160,959398835
2026-05-01,5223,29307603,1177594438
