Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,26905804,379162,26905804
2020-02-01,33320226,848323,60226030
2020-03-01,31270552,1313596,91496582
2020-04-01,35657314,1854613,127153896
2020-05-01,35018967,2375007,162172863
2020-06-01,32191767,2866552,194364630
2020-07-01,35396758,3391051,229761388
2020-08-01,33321488,3883373,263082876
2020-09-01,32183075,4361569,295265951
2020-10-01,37051590,4918478,332317541
2020-11-01,32373594,5420307,364691135
2020-12-01,35238120,5965944,399929255
2021-01-01,35288308,558846,35288308
2021-02-01,32221690,1060521,67509998
2021-03-01,32965415,1554563,100475413
2021-04-01,35765105,2089595,136240518
2021-05-01,40114429,2715826,176354947
2021-06-01,39785434,3441530,216140381
2021-07-01,37329623,4043650,253470004
2021-08-01,40501100,4711721,293971104
2021-09-01,40676234,5346823,334647338
2021-10-01,43437069,5966311,378084407
2021-11-01,40627297,6534418,418711704
2021-12-01,44832572,7151879,463544276
2022-01-01,44331587,645751,44331587
2022-02-01,46319667,1308040,90651254
2022-03-01,44688949,1883135,135340203
2022-04-01,45505990,2485440,180846193
2022-05-01,50416011,3082939,231262204
2022-06-01,53004902,3760624,284267106
2022-07-01,56142696,4474142,340409802
2022-08-01,52501361,5130425,392911163
2022-09-01,53224057,5757490,446135220
2022-10-01,57689674,6422659,503824894
2022-11-01,53631316,7026340,557456210
2022-12-01,54499599,7684765,611955809
2023-01-01,47565138,543346,47565138
2023-02-01,51515707,1131797,99080845
2023-03-01,48908305,1732969,147989150
2023-04-01,50710494,2303655,198699644
2023-05-01,49924991,2852769,248624635
2023-06-01,57632646,3471671,306257281
2023-07-01,49859193,4010599,356116474
2023-08-01,48264145,4531183,404380619
2023-09-01,47988271,5055126,452368890
2023-10-01,50385182,5589973,502754072
2023-11-01,48748672,6107435,551502744
2023-12-01,48767005,6629550,600269749
2024-01-01,47590728,486851,47590728
2024-02-01,46332650,969117,93923378
2024-03-01,46110553,1442567,140033931
2024-04-01,51247549,2005446,191281480
2024-05-01,55330799,2562747,246612279
2024-06-01,53773567,3110759,300385846
2024-07-01,53992407,3643519,354378253
2024-08-01,56000231,4207610,410378484
2024-09-01,54145556,4774963,464524040
2024-10-01,57172147,5383074,521696187
2024-11-01,54563047,5950032,576259234
2024-12-01,54848625,6515418,631107859
2025-01-01,50781950,505493,50781950
2025-02-01,50332956,1032962,101114906
2025-03-01,52851785,1591630,153966691
2025-04-01,58511189,2213059,212477880
2025-05-01,59724180,2856277,272202060
2025-06-01,55228479,3469057,327430539
2025-07-01,52361139,4049187,379791678
2025-08-01,52155634,4642443,431947312
2025-09-01,58172877,5298130,490120189
2025-10-01,53717834,5913687,543838023
2025-11-01,61892673,6574771,605730696
2025-12-01,55491129,7194825,661221825
2026-01-01,51601777,603917,51601777
2026-02-01,44821564,1168127,96423341
2026-03-01,59835574,1865121,156258915
2026-04-01,57265719,2499058,213524634
2026-05-01,59702296,3159118,273226930
