Date,Quantity,Weight_KG,Value_Thousand_JPY
2020-01-01,9715755,322,9715755
2020-02-01,11245389,736,20961144
2020-03-01,16888110,1327,37849254
2020-04-01,13329833,1828,51179087
2020-05-01,13039661,2338,64218748
2020-06-01,12446767,2738,76665515
2020-07-01,12118746,3165,88784261
2020-08-01,13802304,3677,102586565
2020-09-01,10179367,4079,112765932
2020-10-01,13425929,4583,126191861
2020-11-01,12263475,5033,138455336
2020-12-01,15285692,5789,153741028
2021-01-01,14082660,601,14082660
2021-02-01,12582949,1108,26665609
2021-03-01,16566587,1808,43232196
2021-04-01,16852039,2585,60084235
2021-05-01,12558314,3174,72642549
2021-06-01,14592816,3838,87235365
2021-07-01,15584382,4657,102819747
2021-08-01,14457179,5329,117276926
2021-09-01,16372992,6026,133649918
2021-10-01,17878227,6654,151528145
2021-11-01,16514226,7344,168042371
2021-12-01,21515359,8149,189557730
2022-01-01,13680343,507,13680343
2022-02-01,17269909,1214,30950252
2022-03-01,20423279,2102,51373531
2022-04-01,18402926,2905,69776457
2022-05-01,15766616,3771,85543073
2022-06-01,18050764,4660,103593837
2022-07-01,20524612,5431,124118449
2022-08-01,18321283,6227,142439732
2022-09-01,18225070,6992,160664802
2022-10-01,16871891,7742,177536693
2022-11-01,14505474,8371,192042167
2022-12-01,20293550,9348,212335717
2023-01-01,14942620,669,14942620
2023-02-01,17414482,1510,32357102
2023-03-01,23951560,2717,56308662
2023-04-01,17606991,3623,73915653
2023-05-01,8951614,4418,82867267
2023-06-01,16943093,5211,99810360
2023-07-01,15645124,6277,115455484
2023-08-01,10176784,6972,125632268
2023-09-01,19062642,7830,144694910
2023-10-01,16929867,8804,161624777
2023-11-01,10491952,9379,172116729
2023-12-01,21407234,10291,193523963
2024-01-01,15719342,672,15719342
2024-02-01,11355489,1206,27074831
2024-03-01,21499374,1963,48574205
2024-04-01,14664887,2563,63239092
2024-05-01,13471983,3112,76711075
2024-06-01,21332735,3729,98043810
2024-07-01,16538202,4324,114582012
2024-08-01,15453068,4880,130035080
2024-09-01,20731644,5494,150766724
2024-10-01,19035298,6020,169802022
2024-11-01,18273601,6530,188075623
2024-12-01,22271020,7168,210346643
2025-01-01,12560926,344,12560926
2025-02-01,17928215,917,30489141
2025-03-01,24880115,1649,55369256
2025-04-01,18946696,2172,74315952
2025-05-01,14451297,2597,88767249
2025-06-01,18678993,5790,107446242
2025-07-01,19728891,6621,127175133
2025-08-01,22935163,7483,150110296
2025-09-01,21407979,8241,171518275
2025-10-01,19781845,9053,191300120
2025-11-01,21042189,9705,212342309
2025-12-01,34424513,10419,246766822
2026-01-01,15754307,602,15754307
2026-02-01,15523228,1123,31277535
2026-03-01,29999325,2307,61276860
2026-04-01,21455016,3261,82731876
2026-05-01,18823722,3814,101555598
