티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",5280.0,1155866.0,5950391904.0,5.92,691680.0,0.01,-131034.0,-679826981.0,-108425.0,-550729412.0,233549.0,1206178843.0,29852.0,158085515.0,-840.0,-4332650.0,-1253.0,-6507770.0,0.0,0.0,206151.0,1060810698.0,-361.0,-1876950.0,5903.0,24331330.0,7.0,46220.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,7770.0,45980.0,355423650.0,-1.15,1672100.0,0.47,904.0,6849680.0,150.0,1344250.0,-1104.0,-8573980.0,-1066.0,-8278670.0,-4.0,-30940.0,-34.0,-264370.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,380050.0,0.0,0.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,4035.0,184877.0,742101397.0,0.12,1766620.0,0.24,-47805.0,-192360778.0,59157.0,237606140.0,-19496.0,-78221707.0,-4563.0,-18275550.0,0.0,0.0,-798.0,-3219605.0,-3395.0,-13551405.0,-10000.0,-40193007.0,-740.0,-2982140.0,8000.0,32400000.0,144.0,576345.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,121400.0,92584.0,11214348100.0,2.19,844949400.0,6.69,-24370.0,-2955208500.0,27004.0,3257190500.0,-929.0,-94653000.0,-3711.0,-444124200.0,368.0,44979950.0,-6305.0,-759996400.0,0.0,0.0,8902.0,1086681150.0,-183.0,-22193500.0,-1705.0,-207329000.0,0.0,0.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,16610.0,1218620.0,20498367930.0,-0.6,871061115.0,3.93,-155544.0,-2633197345.0,572728.0,9658489815.0,-68587.0,-1152157980.0,-49117.0,-824486885.0,-23690.0,-399173535.0,-17162.0,-288948805.0,0.0,0.0,1822.0,30485815.0,-6417.0,-106790045.0,-348429.0,-5870310640.0,-168.0,-2823850.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",41650.0,8481.0,348490700.0,-0.12,0.0,0.0,1887.0,77235850.0,-1747.0,-71416300.0,-74.0,-3038750.0,-5.0,-170350.0,-3.0,-122800.0,-30.0,-1249400.0,0.0,0.0,0.0,0.0,-36.0,-1496200.0,-17.0,-706750.0,-49.0,-2074050.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,24000.0,4277.0,101499350.0,0.0,0.0,0.0,201.0,4771350.0,-194.0,-4605950.0,0.0,350.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-165750.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,217500.0,246377.0,52777297750.0,6.36,1277176500.0,1.98,-48602.0,-10296410000.0,34548.0,7228192500.0,14039.0,3063573500.0,-18310.0,-3906347750.0,3133.0,680637250.0,2573.0,565161750.0,0.0,0.0,7248.0,1535377750.0,19501.0,4210184000.0,351.0,75308500.0,-336.0,-70664500.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",6050.0,507346.0,3065785810.0,-0.49,106393630.0,3.47,-74720.0,-455248970.0,83580.0,508884190.0,-14860.0,-89960220.0,-2310.0,-13968770.0,-116.0,-700575.0,-1115.0,-6746760.0,0.0,0.0,-10186.0,-61686645.0,-1133.0,-6857470.0,4000.0,24265000.0,2000.0,12060000.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,177800.0,23232.0,4083949400.0,3.86,42376000.0,1.04,-6770.0,-1187399950.0,5071.0,893097600.0,1699.0,294336050.0,430.0,72507700.0,-49.0,-8613900.0,18.0,4810250.0,0.0,0.0,-8.0,-1402900.0,1308.0,227034900.0,0.0,-33700.0,0.0,0.0,0.0,0.0,0.0
