티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4950.0,185133.0,912256542.0,1.12,11255785.0,1.23,-13282.0,-65459695.0,23004.0,113369165.0,-8879.0,-43743120.0,-226.0,-1115930.0,-357.0,-1761300.0,-8291.0,-40841385.0,0.0,0.0,0.0,0.0,-5.0,-24505.0,-803.0,-3971330.0,-40.0,-195020.0
006840,AK홀딩스,유가,기타 금융업,지주사업,8080.0,14851.0,118997165.0,-0.25,4324590.0,3.63,643.0,5285515.0,-661.0,-5449625.0,-5.0,-20680.0,3.0,43710.0,0.0,0.0,-8.0,-64390.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,88550.0,12.0,96240.0
027410,BGF,유가,기타 금융업,지주회사,5040.0,285207.0,1440652075.0,-1.95,41905770.0,2.91,-64120.0,-321153710.0,-11918.0,-61551310.0,29507.0,148748570.0,1387.0,6514590.0,0.0,0.0,26791.0,135420950.0,-1351.0,-6836260.0,4773.0,24218120.0,-2093.0,-10568830.0,47000.0,236330000.0,-469.0,-2373550.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,138600.0,154181.0,21535572850.0,3.51,1514548000.0,5.63,-76351.0,-10669856600.0,49063.0,6824134350.0,27350.0,3854344150.0,-391.0,-54440100.0,1832.0,256331550.0,10275.0,1453632850.0,-147.0,-20735800.0,15257.0,2140173100.0,524.0,79382350.0,-68.0,-9414800.0,6.0,792900.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,17900.0,942205.0,16946179430.0,-1.65,868078420.0,4.19,252077.0,4518837270.0,-138064.0,-2483350095.0,-13115.0,-229173025.0,37509.0,679159930.0,-10312.0,-185392400.0,-21901.0,-393592135.0,0.0,0.0,-15559.0,-278232860.0,-2849.0,-51062050.0,-100633.0,-1801535660.0,-265.0,-4778490.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",49000.0,5632.0,272422150.0,-0.2,490000.0,0.14,-1718.0,-83151600.0,2494.0,120551650.0,-824.0,-39728800.0,0.0,16100.0,0.0,0.0,-3.0,-146400.0,0.0,0.0,-1499.0,-72373850.0,678.0,32775350.0,0.0,0.0,48.0,2328750.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,33300.0,2929.0,95090100.0,1.52,1834650.0,1.93,-1001.0,-32589150.0,63.0,1934100.0,600.0,19642700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,19642700.0,363.0,11833200.0,-25.0,-820850.0
001040,CJ,유가,기타 금융업,지주회사,222000.0,104705.0,23066756250.0,2.07,2034630000.0,7.58,-14852.0,-3307001750.0,34053.0,7492304000.0,-19295.0,-4204279750.0,-6646.0,-1472112000.0,-2334.0,-510644500.0,413.0,96535500.0,-117.0,-25679750.0,-1272.0,-288029500.0,-9338.0,-2004126000.0,95.0,18795000.0,-1.0,182500.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4990.0,701748.0,3468813854.0,3.63,449901087.0,12.97,-83398.0,-413867679.0,-34972.0,-176443786.0,121468.0,605679390.0,-3568.0,-17561285.0,0.0,0.0,-91.0,-454315.0,0.0,0.0,37514.0,188917093.0,87613.0,434777897.0,0.0,0.0,-3098.0,-15367925.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,192400.0,3790.0,726607500.0,1.85,10764500.0,1.48,-1809.0,-349476300.0,727.0,141111500.0,1091.0,210066100.0,1123.0,216167700.0,-6.0,-1153600.0,-26.0,-4948000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-1701300.0
