Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
1차 비철금속 제조업,13650720.0,82197429661.0,3650853103.0,-1239302.0,-10205251182.0,1207214.0,5230236976.0,32742.0,4950987168.0,-20541.0,589312731.0,7275.0,527004339.0,37579.0,2097990088.0,0.0,0.0,16876.0,2127166450.0,-8453.0,-397911840.0,-5116.0,25246612.0,4462.0,-1219574.0,23
1차 철강 제조업,9037021.0,153503847636.0,10985895063.0,-1353541.0,-30443336573.0,1361427.0,28258563690.0,-6843.0,2105897764.0,113300.0,5618513419.0,-5026.0,58610315.0,-47013.0,-6023286225.0,258.0,3043390.0,-10222.0,2762375805.0,-52571.0,-252455360.0,-2192.0,279310222.0,1149.0,-200435103.0,61
ETF,13271745.0,303445352967.0,0.0,233883.0,-6827502025.0,-46133.0,-750442021.0,-257523.0,6311011831.0,-1005562.0,-3532856169.0,-2063.0,-933813468.0,642994.0,12082443809.0,107089.0,-1165414557.0,0.0,0.0,19.0,-139347784.0,51789.0,1187978615.0,17984.0,78953600.0,7
가구 제조업,197802.0,675282860.0,50463307.0,-16324.0,-78819573.0,9568.0,10487057.0,-1561.0,-5250902.0,-1487.0,-3037882.0,-41.0,-1382250.0,-39.0,-1024920.0,0.0,0.0,0.0,0.0,6.0,194150.0,8346.0,73565288.0,-29.0,18130.0,9
가전제품 및 정보통신장비 소매업,38460.0,202170360.0,9738570.0,9003.0,54102355.0,1502.0,-9483085.0,-10998.0,-46645380.0,-10998.0,-46645380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,1933510.0,15.0,92600.0,2
가정용 기기 제조업,1830322.0,15101806805.0,1682972043.0,-152600.0,-2003981187.0,151108.0,1724185184.0,6231.0,307320873.0,18439.0,438304773.0,-37.0,-2236550.0,6708.0,433910450.0,0.0,0.0,0.0,0.0,-18878.0,-562594700.0,-6760.0,-32796145.0,2021.0,5271275.0,9
"가죽, 가방 및 유사제품 제조업",95022.0,1199064715.0,51437216.0,-17512.0,-211222836.0,26871.0,237652900.0,-10264.0,-36770734.0,351.0,86821411.0,-370.0,-4352165.0,-102.0,-1198850.0,4.0,216600.0,-63.0,449700.0,-10095.0,-119297030.0,905.0,10340670.0,0.0,0.0,5
개인 및 가정용품 수리업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
개인 및 가정용품 임대업,6567.0,141312425.0,11858700.0,-617.0,-13382575.0,259.0,5568250.0,435.0,9480075.0,-91.0,-1953950.0,-493.0,-10564250.0,-113.0,-2421475.0,0.0,0.0,1132.0,24419750.0,0.0,0.0,-31.0,-667550.0,-46.0,-998200.0,1
건물 건설업,65844053.0,1189513490612.0,26206950847.0,-2198082.0,-39411515770.0,1602795.0,22885937483.0,653409.0,17610033452.0,110734.0,2546444293.0,49474.0,1600460245.0,-38700.0,829420390.0,-95.0,-249745.0,493788.0,11921081330.0,38959.0,737032589.0,-37955.0,-700067655.0,-20167.0,-384387510.0,26
건물설비 설치 공사업,56017.0,1031664550.0,3898510.0,2962.0,69100015.0,-3623.0,-80275750.0,647.0,10815740.0,230.0,955015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,9860725.0,-4.0,-94400.0,18.0,454395.0,2
"건축기술, 엔지니어링 및 관련 기술 서비스업",6602687.0,157472711794.0,11026833077.0,-761764.0,-21675751332.0,560456.0,11289882518.0,216446.0,11420012530.0,152914.0,7918715875.0,11336.0,500085495.0,9268.0,1834327270.0,-1051.0,-46876175.0,73060.0,4302767400.0,-27385.0,-3072480135.0,-19977.0,-1002069846.0,4839.0,-32073870.0,16
"건축자재, 철물 및 난방장치 도매업",390088.0,352316533.0,2173944.0,-159805.0,-143417344.0,159954.0,143556477.0,-249.0,-228333.0,-249.0,-228333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,89200.0,1
"경비, 경호 및 탐정업",86509.0,6354615400.0,3311695050.0,19056.0,1388821650.0,-23274.0,-1706432750.0,3906.0,294699400.0,-7549.0,-550751400.0,-183.0,-13509250.0,915.0,66870750.0,0.0,0.0,834.0,61961400.0,9890.0,730201900.0,301.0,22101600.0,11.0,810100.0,1
고무제품 제조업,48135450.0,373372717679.0,14521580419.0,2267132.0,18083307240.0,2589067.0,20209407365.0,-3702825.0,-29330920625.0,-658116.0,-4059709420.0,-2758.0,-17747280.0,-3269.0,-324096520.0,-2999942.0,-23399994250.0,4489.0,1243971345.0,-43230.0,-2773414200.0,-1120808.0,-8734953140.0,-32566.0,-226840840.0,9
"곡물가공품, 전분 및 전분제품 제조업",1386310.0,3527545093.0,116767843.0,-118587.0,-199420457.0,-58511.0,-244741827.0,171860.0,450742030.0,195057.0,546607036.0,-822.0,-3474472.0,-7782.0,-82215475.0,335.0,1548653.0,-15000.0,-11929007.0,72.0,205295.0,18284.0,22706975.0,-13046.0,-29286721.0,7
"골판지, 종이 상자 및 종이용기 제조업",1061301.0,2336916196.0,76458511.0,-328139.0,-751083057.0,284200.0,620695087.0,24258.0,144930184.0,22155.0,123320954.0,-201.0,-1600340.0,-119.0,-952860.0,0.0,0.0,2423.0,24162430.0,0.0,0.0,25126.0,3583986.0,-5445.0,-18126200.0,9
"과실, 채소 가공 및 저장 처리업",141961.0,295368012.0,4695129.0,-21241.0,-35600727.0,24657.0,45204478.0,-2485.0,-4574136.0,-2485.0,-4574136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-469.0,-1957515.0,-462.0,-3072100.0,3
광고업,4969793.0,39889881794.0,3404011102.0,362882.0,3535655449.0,-183525.0,-402256559.0,-187986.0,-3119936587.0,-83704.0,-1416641447.0,-1272.0,-23131615.0,-51343.0,-709772160.0,0.0,0.0,-42116.0,-795544765.0,-9551.0,-174846600.0,13705.0,2760972.0,-5076.0,-16223275.0,19
교육지원 서비스업,12771.0,28032447.0,6605.0,1379.0,3035192.0,-758.0,-1665797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-621.0,-1369395.0,1
"구조용 금속제품, 탱크 및 증기발생기 제조업",32909030.0,172639064269.0,3467509584.0,-447915.0,-1398064772.0,447059.0,1272846188.0,9227.0,156228221.0,7131.0,-89120239.0,159.0,4205675.0,3860.0,83151775.0,39.0,590560.0,2520.0,249159525.0,-3811.0,-75234925.0,25714.0,132337807.0,-34085.0,-163347444.0,22
귀금속 및 장신용품 제조업,973702.0,723500837.0,684499.0,-266910.0,-194847938.0,254847.0,185030107.0,-432.0,-378835.0,-432.0,-378835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31730.0,23715691.0,-19235.0,-13519025.0,2
그외 기타 개인 서비스업,166662.0,15136580700.0,1592645100.0,-24079.0,-2186301400.0,33292.0,3029523700.0,-7320.0,-670375000.0,-1322.0,-119790100.0,183.0,16730000.0,976.0,89239000.0,0.0,0.0,-7013.0,-643361150.0,-144.0,-13192750.0,-1893.0,-172847300.0,0.0,0.0,1
그외 기타 운송장비 제조업,857855.0,126777404264.0,9279471870.0,-119237.0,-15530656675.0,341820.0,59861255350.0,-258456.0,-44803989440.0,-18754.0,-2585218610.0,-20133.0,-3604128050.0,-121762.0,-21783952230.0,0.0,0.0,-92162.0,-15821577300.0,-5645.0,-1009118150.0,35509.0,408923265.0,364.0,64467500.0,5
"그외 기타 전문, 과학 및 기술 서비스업",1646919.0,53300721399.0,3089332535.0,-95577.0,-2068040759.0,-18538.0,-3037577931.0,92719.0,4237974991.0,-2091.0,-170994119.0,1078.0,112283150.0,119315.0,5284333890.0,0.0,0.0,-21820.0,-1093475900.0,-3254.0,133468870.0,21045.0,854932420.0,351.0,12711279.0,16
그외 기타 제품 제조업,317336.0,1188097760.0,25258646.0,-95611.0,-384475491.0,54544.0,299016907.0,41845.0,77598918.0,41832.0,77219568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,379350.0,2154.0,19128129.0,-2932.0,-11268463.0,10
금속 주조업,328717.0,485283208.0,1588329.0,-107064.0,-152600668.0,123208.0,202405146.0,-167.0,-331528.0,-167.0,-331528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15998.0,-49538470.0,21.0,65520.0,3
금융 지원 서비스업,12217557.0,247853704731.0,18002892410.0,-3378149.0,-68356298171.0,3541453.0,72031576137.0,-151733.0,-1337109218.0,-227178.0,-8943035701.0,-23968.0,-613014636.0,-161011.0,659324024.0,-36.0,-1146500.0,150484.0,2707282621.0,114668.0,5060629874.0,-15317.0,-2220555077.0,3746.0,-117613671.0,92
기계장비 및 관련 물품 도매업,26246840.0,261401598833.0,7385085721.0,-107528.0,3121884459.0,656739.0,23029712853.0,-210433.0,-23125852315.0,-14080.0,3721029221.0,2024.0,5709200.0,-160515.0,-23713582315.0,1692.0,19739410.0,-12102.0,-1427900521.0,-27452.0,-1730842610.0,-346107.0,-3097372087.0,7329.0,71627090.0,24
기록매체 복제업,88008.0,98706566.0,250819.0,-21219.0,-23821491.0,18613.0,20839612.0,2606.0,2981879.0,2606.0,2981879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
기반조성 및 시설물 축조관련 전문공사업,7325975.0,31694450484.0,24011445.0,-391079.0,-1654560211.0,398353.0,1665399671.0,1673.0,32268855.0,3680.0,62956385.0,-78.0,-1290390.0,-52.0,-860720.0,0.0,0.0,-1492.0,-24595950.0,-385.0,-3940470.0,-14972.0,-65198510.0,6025.0,22090195.0,3
기초 의약물질 제조업,11667658.0,506929832427.0,42031361155.0,-840228.0,-26650626509.0,1045626.0,30882676412.0,65116.0,-2665842646.0,218511.0,11098540941.0,4228.0,1612610405.0,-21722.0,-1302750850.0,0.0,0.0,-47364.0,-4685310735.0,-87427.0,-9212273057.0,-271839.0,-1345512012.0,1325.0,-220695245.0,47
기초 화학물질 제조업,17486026.0,400463021569.0,51308493338.0,-784259.0,-15132935591.0,-444486.0,-9162123237.0,1079449.0,22545661084.0,304539.0,4359352635.0,-99958.0,-52210071.0,619316.0,10297825465.0,5744.0,399736650.0,148910.0,4675756359.0,101543.0,2867001246.0,163990.0,2002811114.0,-14694.0,-253413370.0,51
기타 과학기술 서비스업,1120933.0,5326437342.0,57396265.0,129398.0,592464412.0,492814.0,2495361721.0,-620178.0,-3077421578.0,18649.0,93484225.0,0.0,0.0,-638827.0,-3170905803.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,141580.0,-2107.0,-10546135.0,5
기타 교육기관,10650.0,162761462.0,809450.0,-2173.0,19001095.0,766.0,-23232360.0,1369.0,4442425.0,1369.0,4442425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,-211160.0,0.0,0.0,2
기타 금속 가공제품 제조업,2834544.0,37252881624.0,1467493986.0,-204490.0,612941016.0,217196.0,-410067924.0,-19416.0,-260915107.0,17675.0,200773783.0,-601.0,73383700.0,18471.0,808245110.0,0.0,0.0,-5620.0,-163996100.0,-49341.0,-1179321600.0,6663.0,50792455.0,47.0,7249560.0,26
기타 금융업,22907091.0,2808904534028.0,207440005996.0,-3731872.0,-245221927901.0,3544013.0,270199406162.0,547090.0,19577468933.0,60974.0,-11072828962.0,95849.0,11407166889.0,178243.0,-11556865628.0,-6919.0,2773396495.0,-149337.0,-54840658690.0,121764.0,36370694849.0,-347025.0,-43445827487.0,-12206.0,-1109119707.0,104
