티커,종가,시가총액,거래량,거래대금,상장주식수
005930,255500,1493724184344000,14031862,3586126499750,5846278608
000660,1647000,1203120925155000,2827892,4660912821500,730492365
005935,191600,153734322494800,2510353,475695126800,802371203
402340,1041000,137332881918000,455382,464723335600,131923998
009150,1401000,104645868096000,622762,867415258500,74693696
373220,358500,83889000000000,288467,104653592250,234000000
005380,383500,78524603261000,358567,137972816750,204757766
207940,1447000,66983006097000,45399,65855449500,46290951
105560,172000,61006290248000,1344239,232543894644,354687734
028260,367000,59515502227000,395781,143670487250,162167581
032830,297500,59500000000000,292663,87219853000,200000000
012450,1055000,54399388055000,62321,65429784500,51563401
055550,110300,51780361361700,1115969,124404868750,469450239
034020,79200,50732442763200,1477682,117317996250,640561146
000270,126500,49387244247000,977137,124480272525,390412998
329180,436500,45815574712500,185290,80757764000,104961225
006400,548000,44160870440000,259044,142089869000,80585530
068270,188100,43755290805600,270580,50813720450,232617176
034730,573000,41544048819000,88794,49914992000,72502703
012330,422000,37904286870000,228188,96590757500,89820585
086790,134300,36847588556400,881360,119964694600,274367748
066570,201500,32821254557000,416253,84206416000,162884638
035420,213500,32468330828500,648091,138236649250,152076491
000810,663000,29601274599000,139506,92461667000,44647473
010120,195300,29295000000000,425547,82565048300,150000000
005490,337000,26704394599000,222733,75266532250,79241527
042660,86800,26596682599200,386896,33435862350,306413394
267260,714000,25737654390000,77266,55236654000,36047135
010130,1222000,25506768118000,13834,16852873500,20872969
298040,2732000,25474665136000,37493,102124227000,9324548
009540,348500,24664430926000,106579,36899184750,70773116
316140,33200,24461313692400,3083152,103792593875,736786557
096770,138300,23380000580400,1280862,176360451550,169052788
138040,135500,22675555491500,213109,28892006650,167347273
042700,230000,21921806000000,963556,217909372500,95312200
015760,32150,20639145075550,860534,27758353750,641964077
196170,288500,20095505870500,613855,177550119000,69655133
051910,282000,19907040726000,181645,51093224250,70592343
017670,92500,19868079902500,911127,83894875450,214790053
011200,21050,19855159268500,876481,18511901550,943237970
267250,240500,18997836942500,272287,64246430250,78993085
010140,21400,18832000000000,3410970,71941017800,880000000
006800,34450,18707075206950,1066118,36546092175,543021051
000150,1142000,18493359570000,30158,34251980500,16193835
018260,238000,18415916400000,214444,50517313250,77377800
003550,121100,18309351684400,355436,42875212550,151192004
033780,172500,17907303660000,161014,27834948650,103810456
010950,157300,17709273181600,918696,147265732700,112582792
024110,20700,16506715488300,1110330,23078676575,797425869
003670,183600,16330525992000,248865,46132015550,88946220
035720,36200,16036596488600,1535335,55006325675,442999903
086280,206000,15450000000000,127523,26215930500,75000000
278470,394000,14750633070000,223630,88944499000,37438155
079550,652000,14344000000000,59051,38688275744,22000000
064350,126800,13839242752400,162383,20564869200,109142293
030200,54300,13684777495500,175651,9470413300,252021685
000720,119700,13329285070500,433776,51580561200,111355765
011070,562000,13300914134000,179412,100176904500,23667107
272210,68800,12997653963200,153912,10569898050,188919389
005830,195700,12818418299300,219058,43093960200,65500349
047810,126500,12330601035500,140114,17688513100,97475107
078930,123900,11509751830500,506916,63479541000,92895495
086520,82400,11187954924800,370938,30519464300,135776152
003490,30200,11120263962200,4829883,145479859350,368220661
307950,395000,10832472890000,56867,22599463250,27423982
003230,1417000,10674282255000,39339,55273754000,7533015
071050,188800,10521067289600,189638,35908676650,55725992
323410,21950,10472793592150,552348,12117442900,477120437
247540,106000,10370026004000,268846,28684669400,97830434
259960,216500,9904429659500,73187,15831226750,45747943
005940,26650,9839342698250,278290,7391758125,369206105
180640,146000,9747292734000,122595,17700604400,66762279
047050,54700,9622976503600,535419,29538347350,175922788
443060,210500,9437443330000,41674,8731158000,44833460
006260,299500,9344400000000,110255,33093670750,31200000
028050,45850,8986600000000,917565,41738549850,196000000
277810,459000,8904534822000,125719,58184778750,19399858
0126Z0,356000,8858365444000,28424,10185312750,24883049
090430,143300,8382012364700,127426,18227450850,58492759
036930,178300,8287583874300,872606,153740085850,46481121
007660,111100,8155764230900,374790,41212630450,73409219
161390,65400,8101429512600,126910,8297965950,123875069
016360,86800,7751240000000,156593,13611450400,89300000
352820,178500,7694570226000,144345,25623589600,43106836
000880,137400,7327390447800,161182,21976105750,53328897
064400,74100,7179248746800,482960,35867298100,96885948
039490,270500,7094759478000,44891,12173793000,26228316
021240,99400,7034282144400,110383,11000482000,70767426
047040,16850,6923793700300,3995450,67239316945,410907638
326030,86600,6781927450000,66264,5727426600,78313250
009830,30050,6758020706800,1184894,35889484575,224892536
267270,140000,6709065580000,285024,39896189600,47921897
005387,184800,6461334264000,71981,13271909800,34963930
377300,47300,6398398000500,492081,23385999025,135272685
000500,212000,6312852684000,308808,66758903250,29777607
032640,14760,6264553324320,749008,11063572555,424427732
128940,473500,6066004238500,151326,71182039250,12810991
241560,62800,6019760882000,69483,4353740300,95856065
000100,81400,5992324573400,108985,8873175350,73615781
062040,191700,5874234345000,270997,52223812000,30642850
175330,31000,5782176544000,842330,26164156925,186521824
240810,114800,5634831834800,905726,102161216850,49083901
039030,443000,5457560650000,172408,76365600250,12319550
001440,27400,5370197130400,699022,19131903100,195992596
029780,46150,5346887819650,81970,3785419300,115858891
058470,66600,5075709210000,403403,26715391500,76211850
271560,126300,4992485924400,84688,10686151900,39528788
088350,5740,4985362200000,8014297,46804446925,868530000
066970,121300,4935049500600,642999,77659692750,40684662
353200,99500,4916984037500,1120300,111482041000,49416925
036570,222000,4782772884000,51793,11384812000,21544022
088980,9920,4750906170560,570095,5656483360,478921993
138930,15390,4722263767890,966052,14988396665,306839751
034220,9130,4565000000000,2314009,21189357065,500000000
028300,33750,4495440026250,466294,15859549925,133198223
222800,117900,4477161481200,752610,87225634500,37974228
