날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,9090.34,9198.33,8928.75,8956.38,17857716,460189942560,30062453660675
2019-01-03,8963.58,9051.41,8639.96,8643.98,18327864,413810343090,29006743020370
2019-01-04,8615.21,8907.22,8583.3,8907.22,17137952,389446698275,29886349745200
2019-01-07,9024.21,9033.69,8817.96,8879.32,12771254,303591247215,29793469494615
2019-01-08,8886.85,8888.38,8698.92,8723.84,12159282,266460905625,29269836375145
2019-01-09,8786.24,8869.82,8747.38,8852.12,13032688,253873804730,29698797503095
2019-01-10,8863.23,8945.35,8796.46,8898.54,18113295,334107432830,29553670903645
2019-01-11,8941.15,8943.94,8842.6,8878.14,15541290,272088647840,29496399613130
2019-01-14,8872.02,8872.02,8763.79,8766.89,10627806,202534515500,29145763955235
2019-01-15,8799.12,8893.06,8784.46,8853.46,12764001,232462645185,29433249249670
2019-01-16,8869.3,8872.85,8761.6,8866.68,13353353,252704751055,29478672529380
2019-01-17,8869.29,8975.26,8761.29,8762.72,17051653,287121822185,29129301274540
2019-01-18,8817.32,8870.34,8776.87,8860.54,11229605,213754835840,29519502929945
2019-01-21,8852.3,8852.3,8664.74,8680.03,11856707,259838463203,28921510442125
2019-01-22,8712.56,8756.26,8682.33,8743.32,20110803,362987653180,29137767355250
2019-01-23,8698.97,8757.57,8686.96,8692.12,12175061,264588958065,28968676137885
2019-01-24,8693.29,8912.13,8685.8,8908.59,22624228,344838564460,29683901456850
2019-01-25,8921.62,8948.87,8866.58,8926.01,12596671,239617367685,29750562707270
2019-01-28,8943.23,9065.01,8933.18,9014.77,31707774,383173197615,30050766901515
2019-01-29,8983.79,9022.69,8924.62,9006.88,45852295,479380681570,30024096071640
2019-01-30,9005.83,9055.88,8962.89,8985.51,21436402,262017070735,29955748095305
2019-01-31,9040.22,9117.62,9015.77,9055.8,45798591,430409323510,30185110024370
2019-02-01,9071.42,9112.93,9014.34,9050.34,27951505,308740322005,30456701775370
2019-02-07,9027.69,9141.75,8971.23,9129.32,15765613,273673149995,30723020607835
2019-02-08,9097.17,9192.68,9090.93,9148.73,17614671,282297361735,30789714090175
2019-02-11,9203.74,9362.24,9180.6,9356.0,23041749,415071795830,31488924633810
2019-02-12,9356.24,9356.24,9213.2,9254.68,13160628,261256871375,31148117092040
2019-02-13,9289.88,9377.37,9246.62,9352.84,13353694,256623934995,31477974969905
2019-02-14,9360.75,9384.42,9239.7,9349.77,25627207,419652405300,31466625348665
2019-02-15,9323.47,9367.33,9240.6,9293.44,14497592,263044584350,31278353607410
2019-02-18,9368.4,9478.07,9346.7,9453.0,13444256,315081582445,31815582277525
2019-02-19,9463.72,9512.73,9381.32,9496.2,16735159,302884546170,31964507860905
2019-02-20,9495.08,9546.08,9454.47,9536.81,23283659,365820099545,32098529057985
2019-02-21,9544.56,9600.95,9485.58,9557.18,18693872,336309324540,32164678537695
2019-02-22,9557.16,9585.87,9451.23,9484.89,16202410,336957808470,31951650197855
2019-02-25,9542.13,9543.35,9484.34,9523.68,13050411,277513203565,32097909540765
2019-02-26,9524.62,9602.33,9520.91,9523.27,13072478,298086668905,32094769873665
2019-02-27,9553.08,9729.15,9533.34,9729.15,13753275,316491387145,32791487096215
2019-02-28,9737.27,9991.67,9695.63,9699.51,34228099,706716959490,32687764971555
2019-03-04,9933.02,10214.38,9933.02,10209.49,30802107,702671959615,34415613074785
2019-03-05,10211.65,10381.19,10192.95,10300.45,33506983,606444645645,34722942445885
2019-03-06,10326.95,10333.99,10094.9,10219.31,20998823,423649954785,34452216923865
2019-03-07,10193.36,10298.07,9960.82,10011.88,22893414,483727803760,33751790018195
2019-03-08,9946.2,10096.87,9899.22,10062.57,14437335,310787324650,33949440259975
2019-03-11,10082.95,10132.43,9892.33,10131.85,14114752,322024420840,34182426210455
2019-03-12,10233.96,10519.49,10232.92,10518.72,28385520,764939296600,35494589158525
2019-03-13,10499.28,10691.39,10479.52,10553.75,32857579,882266680605,35632889782705
2019-03-14,10630.58,10658.67,10459.93,10459.93,25676603,662513733885,35319755020640
2019-03-15,10474.75,10483.08,10216.95,10324.09,38038691,1043259208865,34857427496370
2019-03-18,10383.91,10456.65,10313.65,10378.28,25141234,673890642180,35040110320530
2019-03-19,10450.0,10467.99,10154.58,10164.3,27288015,664447386720,34319846753570
2019-03-20,10172.46,10184.66,10007.36,10177.11,37294995,735527943280,34366727586455
2019-03-21,10197.39,10200.1,9976.73,9976.73,38011660,704522916855,33687830765220
2019-03-22,10007.29,10037.9,9925.4,10010.21,24436359,449825280945,33799682023630
2019-03-25,9856.28,9907.14,9734.84,9734.84,18443206,398777753030,32869600443445
2019-03-26,9839.09,9952.16,9821.94,9935.42,26577383,579052331080,33546186519855
2019-03-27,9990.04,9990.04,9734.47,9734.74,24268186,535098824085,33418122867785
2019-03-28,9713.74,9737.83,9540.12,9541.55,17867788,400257530595,32753780898300
2019-03-29,9615.06,9700.66,9454.03,9699.3,16238905,393744843230,32995591875485
2019-04-01,9682.84,9759.63,9576.18,9735.94,13920846,355924087925,33119409987925
2019-04-02,9811.68,9812.19,9720.36,9758.64,15678508,467478880960,33196446422790
2019-04-03,9764.93,9897.83,9739.3,9897.24,22628416,522244190505,33667600418910
2019-04-04,9901.31,9912.25,9793.54,9886.66,21092640,405257245090,33628023464065
2019-04-05,9837.07,9871.72,9719.46,9748.73,15882319,353541918910,33163729601310
2019-04-08,9777.63,9815.97,9654.06,9672.85,22293090,463098423395,32917597709080
2019-04-09,9687.17,9762.47,9616.74,9760.59,25699858,582103014285,33218260153755
2019-04-10,9778.29,9863.0,9770.02,9834.35,50897906,826387214135,33538706831385
2019-04-11,9853.23,9973.59,9848.48,9964.95,21018660,475503977275,33985668829245
2019-04-12,9943.4,9999.28,9915.48,9954.11,26420407,423967414850,33950791116820
2019-04-15,9966.57,9966.57,9844.48,9845.94,23739678,523358965870,33876995873230
2019-04-16,9841.75,9848.64,9701.56,9810.43,18693090,395252144025,33754066709695
2019-04-17,9813.37,9823.52,9739.6,9740.43,25234166,297899221760,33514318822070
2019-04-18,9763.48,9764.12,9544.61,9556.89,72320110,637777410090,32882955127975
2019-04-19,9618.67,9753.2,9612.84,9725.22,25063536,350868243785,33459296202700
2019-04-22,9725.65,9785.07,9693.08,9724.08,18491980,329719338840,33457265192330
2019-04-23,9740.58,9758.81,9685.11,9734.12,28051114,379708442380,33491933126015
2019-04-24,9769.54,9770.02,9593.21,9615.39,20432295,402371753435,33088120744285
2019-04-25,9628.32,9635.13,9523.69,9526.96,20150066,361121191115,32785463805880
2019-04-26,9494.52,9531.06,9404.45,9404.45,21649519,351652029200,32453992646070
2019-04-29,9433.53,9547.05,9404.08,9547.05,16302996,267392760167,32946841143455
2019-04-30,9531.59,9634.05,9461.96,9620.08,35435510,603423512365,33189799903565
2019-05-02,9591.38,9736.22,9590.09,9673.44,30666332,393603742065,34101048946020
2019-05-03,9668.34,9722.13,9640.39,9691.81,34610283,358932764113,34166073042285
2019-05-07,9576.86,9640.62,9518.12,9575.45,16450057,286772504085,33754918121510
2019-05-08,9482.17,9569.51,9470.03,9470.03,23684929,334532877300,33382881004210
2019-05-09,9488.1,9509.09,9127.98,9136.3,27505981,408978541700,32206514147505
2019-05-10,9174.75,9239.56,8990.16,9119.17,17274844,310167999805,32145862870220
2019-05-13,9109.31,9128.81,8859.46,8859.46,15501455,273696820075,31231717149855
2019-05-14,8744.81,9011.2,8744.81,8930.71,25216962,389827378870,31484489196650
