티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
095570,54300,45252759,234576000,195491918880.0,0.12,KOSPI
006840,0,13247561,0,91010744070.0,0.0,KOSPI
027410,179093,95716791,734281300,392438843100.0,0.19,KOSPI
282330,30977,17283906,3986739900,2224438702200.0,0.18,KOSPI
138930,89865,310327033,1533096900,5294179182980.0,0.03,KOSPI
001460,6211,6246150,222353800,223612170000.0,0.1,KOSPI
001465,0,2153850,0,53307787500.0,0.0,KOSPI
001040,436933,29176998,78560553400,5246024240400.0,1.5,KOSPI
079160,2322050,165582385,10089307250,719455462825.0,1.4,KOSPI
00104K,0,4226512,0,694415921600.0,0.0,KOSPI
000120,22476,22812344,1813813200,1840956160800.0,0.1,KOSPI
011150,415328,35930773,849345760,73478430785.0,1.16,KOSPI
011155,0,200000,0,1910000000.0,0.0,KOSPI
001045,0,2260223,0,172228992600.0,0.0,KOSPI
097950,34605,15054186,6761817000,2941587944400.0,0.23,KOSPI
097955,0,1327433,0,162477799200.0,0.0,KOSPI
000480,0,46890490,0,215696254000.0,0.0,KOSPI
000590,0,1154482,0,79659258000.0,0.0,KOSPI
012030,1221213,201173933,2269013754,373781167514.0,0.61,KOSPI
005830,6578,65500349,945916400,9418950186200.0,0.01,KOSPI
016610,22213,42446389,235235670,449507259510.0,0.05,KOSPI
000990,755730,43504588,128700819000,7408831336400.0,1.74,KOSPI
000300,0,41437055,0,174035631000.0,0.0,KOSPI
001530,298228,20715621,6650484400,461958348300.0,1.44,KOSPI
015590,434932,53396308,880737300,108127523700.0,0.81,KOSPI
000210,13613,20955884,641852950,988069930600.0,0.06,KOSPI
000215,0,1686115,0,36167166750.0,0.0,KOSPI
375500,648651,38693623,45146109600,2693076160800.0,1.68,KOSPI
37550L,0,2111951,0,88701942000.0,0.0,KOSPI
37550K,0,2113885,0,47668106750.0,0.0,KOSPI
007340,260173,58510865,10354885400,2328732427000.0,0.44,KOSPI
004840,0,19272364,0,82485717920.0,0.0,KOSPI
155660,0,16000000,0,65920000000.0,0.0,KOSPI
069730,0,14400000,0,75024000000.0,0.0,KOSPI
017860,352557,17759139,4914644580,247562397660.0,1.99,KOSPI
092780,0,13168460,0,57216958700.0,0.0,KOSPI
017940,2917,6860000,243569500,572810000000.0,0.04,KOSPI
365550,3428273,246089000,11998955500,861311500000.0,1.39,KOSPI
383220,11944,38307075,891022400,2857707795000.0,0.03,KOSPI
007700,0,39114367,0,628567877690.0,0.0,KOSPI
114090,203789,61855670,2435278550,739175256500.0,0.33,KOSPI
078930,0,92895495,0,6855687531000.0,0.0,KOSPI
006360,4833795,85581490,127853877750,2263630410500.0,5.65,KOSPI
001250,174765,82533764,505944675,238935246780.0,0.21,KOSPI
007070,60294,83607415,1410879600,1956413511000.0,0.07,KOSPI
078935,0,1779676,0,93432990000.0,0.0,KOSPI
499790,4500,19830841,211500000,932049527000.0,0.02,KOSPI
012630,90339,59741721,1786905420,1181691241380.0,0.15,KOSPI
039570,14236,25957601,111610240,203507591840.0,0.05,KOSPI
089470,0,31900000,0,124410000000.0,0.0,KOSPI
267270,0,47921897,0,6895960978300.0,0.0,KOSPI
009540,126440,70773116,45834500000,25655254550000.0,0.18,KOSPI
267250,0,78993085,0,19037333485000.0,0.0,KOSPI
443060,14057,44833460,2951970000,9415026600000.0,0.03,KOSPI
071970,15008,33921495,939500800,2123485587000.0,0.04,KOSPI
322000,71443,11200000,10287792000,1612800000000.0,0.64,KOSPI
267260,163881,36047135,154703664000,34028495440000.0,0.45,KOSPI
329180,2772528,104961225,1696787136000,64236269700000.0,2.64,KOSPI
097230,411420,90295344,8392968000,1842025017600.0,0.46,KOSPI
014790,0,37858601,0,95025088510.0,0.0,KOSPI
003580,0,50663505,0,75235304925.0,0.0,KOSPI
204320,636928,46957120,32865484800,2422987392000.0,1.36,KOSPI
060980,4033,9078847,166159600,374048496400.0,0.04,KOSPI
011200,9863542,943237970,187703204260,17949818569100.0,1.05,KOSPI
035000,0,16207644,0,119936565600.0,0.0,KOSPI
002460,0,10150000,0,103428500000.0,0.0,KOSPI
487570,21777,3725927,1099738500,188159313500.0,0.58,KOSPI
298050,101226,4479948,19384779000,857910042000.0,2.26,KOSPI
015360,0,27250000,0,397850000000.0,0.0,KOSPI
294870,82611,65907330,1635697800,1304965134000.0,0.13,KOSPI
175330,20344,188253584,526909600,4875767825600.0,0.01,KOSPI
204210,0,7826815,0,6652792750.0,0.0,KOSPI
234080,56449,15834554,632228800,177347004800.0,0.36,KOSPI
001060,19921,23285930,519938100,607762773000.0,0.09,KOSPI
001067,0,209973,0,9648259350.0,0.0,KOSPI
001065,0,341951,0,7334848950.0,0.0,KOSPI
096760,0,73924942,0,277588157210.0,0.0,KOSPI
008970,1525985,103766907,1988358455,135208279821.0,1.47,KOSPI
105560,24202,354687734,3746469600,54905661223200.0,0.01,KOSPI
415640,39355,122545548,381743500,1188691815600.0,0.03,KOSPI
432320,0,150764285,0,222678848945.0,0.0,KOSPI
002380,8440,8592896,4203120000,4279262208000.0,0.1,KOSPI
344820,63256,15970512,1410608800,356142417600.0,0.4,KOSPI
009070,125763,30000000,544553790,129900000000.0,0.42,KOSPI
009440,0,23239141,0,17568790596.0,0.0,KOSPI
119650,0,109785309,0,100782913662.0,0.0,KOSPI
092220,658975,40152628,2853361750,173860879240.0,1.64,KOSPI
003620,973187,202374912,3065539050,637480972800.0,0.48,KOSPI
016380,62344,100008897,334787280,537047776890.0,0.06,KOSPI
001390,369427,67233030,1614395990,293808341100.0,0.55,KOSPI
001940,0,14176380,0,300539256000.0,0.0,KOSPI
025000,0,4378709,0,217840772750.0,0.0,KOSPI
092230,0,4224646,0,342618790600.0,0.0,KOSPI
000040,0,86375184,0,27985559616.0,0.0,KOSPI
044450,145538,23085880,1398620180,221855306800.0,0.63,KOSPI
030200,1273836,252021685,68532376800,13558766653000.0,0.51,KOSPI
033780,21900,103810456,4036170000,19132267040800.0,0.02,KOSPI
058850,298898,41404450,714366220,98956635500.0,0.72,KOSPI
058860,47341,34802000,122376485,89963170000.0,0.14,KOSPI
093050,8604,29240000,186276600,633046000000.0,0.03,KOSPI
003550,2623916,154221585,295452941600,17365350471000.0,1.7,KOSPI
034220,15036829,500000000,210064501130,6985000000000.0,3.01,KOSPI
051900,107651,15291262,26051542000,3700485404000.0,0.7,KOSPI
051905,0,2096259,0,213399166200.0,0.0,KOSPI
