ticker,region,name,ytd,m1,m3,mdd,off_high,high_date,low_date
XBI,US,SPDR S&P Biotech ETF (XBI),36.05567503214344,8.95404316779722,26.00082273705546,-10.512542245427237,-2.2530269864121655,08-19,03-30
IBB,US,iShares Nasdaq Biotech ETF (IBB),26.649306969469567,14.203207250584882,26.54187521348943,-9.633422718521945,-1.567113315846036,08-19,03-27
^NBI,US,Nasdaq Biotech Index (NBI),27.64910450118434,12.587181088097243,23.65678439146972,-8.45293343319452,-1.6168977076315705,08-19,03-27
^GSPC,US,S&P500,12.108248005076327,2.3391264543846324,2.688174255979825,-9.097524918009315,-1.5979006697331322,08-13,03-30
1621.T,JP,NEXT FUNDS TOPIX-17 의약품 ETF (1621),6.8281082204523225,4.8979591836734615,4.548021132497615,-17.414909095734142,-7.293395366008404,02-27,06-11
^N225,JP,Nikkei225,31.142313667662847,-0.15010403770763237,4.226915629312034,-15.106680505397229,-8.774775739585438,06-25,12-31
1306.T,JP,TOPIX ETF(1306),20.77335255012731,0.9041204903433409,4.812768039084081,-91.00944090563424,-3.1292786823767016,08-14,03-31
244580.KS,KR,KODEX 바이오 (244580),-33.586869495596474,10.013262599469485,-26.135351736420297,-51.043509020162716,-41.315882561018746,02-27,07-30
143860.KS,KR,TIGER 헬스케어 (143860),-19.55743280103215,16.631355932203395,-13.101815311760067,-40.61531265628145,-30.738833934921484,02-27,07-22
^KS11,KR,KOSPI,64.0406135364551,1.695426345508344,-11.911242518872756,-38.630429604794614,-24.154781712232733,06-22,12-31
^KQ11,KR,KOSDAQ,-13.34780945597478,6.77015720722951,-30.934520762613282,-47.41555064890356,-34.598511856851864,04-27,07-30
KRW=X,FX,USDKRW,-3.2769779747777394,-6.009916295065465,-7.551846816528174,-10.619625735219051,-10.530205822071103,06-08,08-20
JPY=X,FX,USDJPY,1.6155998205777955,-2.601940164334049,-0.04905289152977721,-4.225430420280762,-3.0049284890917627,07-29,01-28
LLY,US,Eli Lilly,17.380522929364094,8.098724529614776,18.04685172031759,-23.0540172943278,-1.9479155593078001,08-19,04-29
AMGN,US,Amgen,36.97092757401976,20.72051606385088,30.237984349691473,-16.567908726245662,-0.10455877798628554,08-19,01-05
GILD,US,Gilead,20.5113285962085,12.106797009867298,9.467330824166865,-21.585431504893638,-5.0605954854777035,02-11,01-05
VRTX,US,Vertex,20.886272609166845,15.972232536747711,26.127681499072473,-15.211254913322614,-0.7263720942214058,08-19,04-29
REGN,US,Regeneron,8.472542654237603,28.230892932935035,30.69964891157999,-25.852146249759933,-0.8087208756647146,08-19,06-01
BIIB,US,Biogen,23.17744872603984,9.628801839388546,11.88067966819062,-14.33541971759028,-2.1574286116485153,08-19,01-16
ALNY,US,Alnylam,-40.596000290095425,-11.524772515501681,-20.5849751129648,-51.36568148460614,-44.08994053947855,01-07,07-30
MRNA,US,Moderna,392.13294679286344,149.9225170406673,209.5776484133244,-34.156480927913414,-16.773712112037554,08-19,12-31
INSM,US,Insmed,-27.735002588575984,17.93885724203681,18.382905847136797,-48.12556470960402,-28.991644020849538,01-02,06-10
NTRA,US,Natera,44.934307078855326,25.66421816868891,63.408629750395384,-28.203617028856986,0.0,08-21,03-27
EXEL,US,Exelixis,23.385807829781125,-1.6369547447708688,7.836490898505333,-11.799084456111597,-5.288960987337199,07-09,03-03
UTHR,US,United Therapeutics,5.309388428360706,-2.6467095477224034,-9.73030949655418,-16.259467322115807,-14.015686922668758,05-06,01-16
SRPT,US,Sarepta,-12.685871208945255,18.77371225029043,11.845248624040906,-37.64162944081868,-21.149807068043348,01-09,07-31
ARGX,US,argenx(ADR),23.643500113404393,22.08003393867819,28.931379233592015,-23.193585779843428,0.0,08-21,03-20
BMRN,US,BioMarin,12.232873305964386,14.212320557363833,23.31299086722407,-22.48752067782549,-5.039864782446568,08-12,05-18
INCY,US,Incyte,29.401642100355318,10.380858923937142,31.54589619312389,-18.332275209380555,-1.631644144302835,07-28,03-27
CRSP,US,CRISPR Tx,13.46300831078815,25.95257808198095,18.149323429058306,-28.182703357372183,-3.8616891472262327,07-06,03-30
IONS,US,Ionis,-24.484892911693645,10.609152999453265,-20.936998929703755,-40.15028848813448,-30.936414244547052,02-06,07-31
NBIX,US,Neurocrine,7.572449661220038,-11.650932209589971,-2.635602874572851,-18.695413841391506,-17.752017614976413,07-30,02-12
VKTX,US,Viking Tx,-3.6668587388771434,-9.166448292041185,9.711881059490501,-25.776391093726104,-19.558512863895892,07-07,02-05
4502.T,JP,다케다,21.29096213890662,3.818443804034577,12.82051282051282,-19.388794567062817,-2.139219015280136,04-02,06-03
4568.T,JP,다이이치산쿄,-14.225680157417752,2.60727865290602,6.944706548405355,-31.55651145007985,-18.923651836873432,01-09,06-04
4519.T,JP,주가이제약,-14.184133470023252,-4.037777169449763,-12.56116398137167,-35.53479864802818,-32.340490018162505,02-27,08-04
4523.T,JP,에자이,6.917253980683902,7.7362637362637265,17.92157806110175,-27.89076118535735,-5.055200464846021,04-09,06-11
4507.T,JP,시오노기,3.8684089405777167,1.4951321279554897,-1.3684744044602182,-25.048249241797627,-19.520264681555,04-01,06-25
4578.T,JP,오츠카HD,38.71260562000391,11.166818596171368,5.647801406823483,-12.932139878561877,-4.014167650531286,08-07,01-06
4503.T,JP,아스텔라스,15.77716090916046,9.721903010802112,5.177351839612254,-20.71495766698025,-10.178739416745064,04-01,12-31
4528.T,JP,오노약품,14.477675329835193,1.7879417879417936,-1.3897280966767345,-18.025649258090116,-7.00963363475654,02-27,12-31
4587.T,JP,펩티드림,-32.71958949592514,16.774934146112198,-8.309337721102427,-48.115536983402265,-37.492989343802584,01-16,06-15
4552.T,JP,JCR파마,-24.445093794011985,1.3409961685823646,4.545454545454541,-37.061251606514034,-25.18067887605826,01-16,06-26
4565.T,JP,넥세라파마(소세이),33.373639661426836,19.761129207383288,-1.9555555555555548,-31.320450885668272,-11.191626409017719,05-11,01-29
2160.T,JP,GNI그룹,15.505804311774462,11.484593837535018,-1.6937191249117856,-37.58480325644504,-24.396200814111257,03-11,01-05
4592.T,JP,산바이오,-40.23668639053254,0.4975124378109541,-33.98692810457516,-62.34309623430963,-57.74058577405859,02-19,07-29
4506.T,JP,스미토모파마,-39.10698878343399,9.758942457231722,-6.492215965551507,-61.36934673366834,-55.66896984924623,02-17,08-04
4151.T,JP,교와기린,3.3786059987024553,-1.9223448800913645,9.099070367278571,-24.991336091769554,-9.449661856606673,02-27,03-05
